metpo_id,metpo_label,metpo_parents,query_text,match_id,match_document,match_ontology,match_iri,distance,rank
METPO:1000059,phenotype,quality,phenotype quality,oba:class:http://purl.obolibrary.org/obo/PATO_0001894,phenotypic sex; An organismal quality inhering in a bearer by virtue of the bearer's physical expression of sexual characteristics.,oba,http://purl.obolibrary.org/obo/PATO_0001894,0.7301317453384399,1
METPO:1000059,phenotype,quality,phenotype quality,oba:class:http://purl.obolibrary.org/obo/PATO_0001995,organismal quality,oba,http://purl.obolibrary.org/obo/PATO_0001995,0.778387188911438,2
METPO:1000059,phenotype,quality,phenotype quality,oba:class:http://purl.obolibrary.org/obo/PATO_0000186,behavioral quality,oba,http://purl.obolibrary.org/obo/PATO_0000186,0.7795546054840088,3
METPO:1000059,phenotype,quality,phenotype quality,oba:property:http://purl.obolibrary.org/obo/RO_0002200,"has phenotype; A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype).",oba,http://purl.obolibrary.org/obo/RO_0002200,0.7858560085296631,4
METPO:1000059,phenotype,quality,phenotype quality,oba:class:http://purl.obolibrary.org/obo/OBA_VT0010442,behavior trait; quality of behavior; The quality of a behavior.,oba,http://purl.obolibrary.org/obo/OBA_VT0010442,0.8129780292510986,5
METPO:1000060,metabolism,biological process,metabolism biological process,oba:class:http://purl.obolibrary.org/obo/GO_0046415,urate metabolic process,oba,http://purl.obolibrary.org/obo/GO_0046415,0.5456438660621643,1
METPO:1000060,metabolism,biological process,metabolism biological process,oba:class:http://purl.obolibrary.org/obo/GO_0016125,sterol metabolic process,oba,http://purl.obolibrary.org/obo/GO_0016125,0.5508588552474976,2
METPO:1000060,metabolism,biological process,metabolism biological process,oba:class:http://purl.obolibrary.org/obo/GO_0018904,ether metabolic process,oba,http://purl.obolibrary.org/obo/GO_0018904,0.5695840120315552,3
METPO:1000060,metabolism,biological process,metabolism biological process,oba:class:http://purl.obolibrary.org/obo/GO_0044238,primary metabolic process,oba,http://purl.obolibrary.org/obo/GO_0044238,0.5701358318328857,4
METPO:1000060,metabolism,biological process,metabolism biological process,oba:class:http://purl.obolibrary.org/obo/GO_0009308,amine metabolic process,oba,http://purl.obolibrary.org/obo/GO_0009308,0.5775261521339417,5
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/OBA_2055566,CHGB/SCG2 protein level ratio in blood; the ratio of amount of secretogranin-1 (human) in blood to amount of secretogranin-2 (human) in blood; A compound attribute that is the ratio of amount of secretogranin-1 (human) in blood to amount of secretogranin-2 (human) in blood.,oba,http://purl.obolibrary.org/obo/OBA_2055566,1.013904333114624,1
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/OBA_2055562,CHGB/MOG protein level ratio in blood; the ratio of amount of secretogranin-1 (human) in blood to amount of myelin-oligodendrocyte glycoprotein (human) in blood; A compound attribute that is the ratio of amount of secretogranin-1 (human) in blood to amount of myelin-oligodendrocyte glycoprotein (human) in blood.,oba,http://purl.obolibrary.org/obo/OBA_2055562,1.0236952304840088,2
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/OBA_2054152,CD300C/GOLM2 protein level ratio in blood; the ratio of amount of CMRF35-like molecule 6 (human) in blood to amount of protein GOLM2 (human) in blood; A compound attribute that is the ratio of amount of CMRF35-like molecule 6 (human) in blood to amount of protein GOLM2 (human) in blood.,oba,http://purl.obolibrary.org/obo/OBA_2054152,1.0284181833267212,3
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/OBA_2055563,CHGB/NPDC1 protein level ratio in blood; the ratio of amount of secretogranin-1 (human) in blood to amount of neural proliferation differentiation and control protein 1 (human) in blood; A compound attribute that is the ratio of amount of secretogranin-1 (human) in blood to amount of neural proliferation differentiation and control protein 1 (human) in blood.,oba,http://purl.obolibrary.org/obo/OBA_2055563,1.039527416229248,4
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/OBA_2054244,CEACAM1/GGT1 protein level ratio in blood; the ratio of amount of carcinoembryonic antigen-related cell adhesion molecule 1 (human) in blood to amount of glutathione hydrolase 1 proenzyme (human) in blood; A compound attribute that is the ratio of amount of carcinoembryonic antigen-related cell adhesion molecule 1 (human) in blood to amount of glutathione hydrolase 1 proenzyme (human) in blood.,oba,http://purl.obolibrary.org/obo/OBA_2054244,1.0597189664840698,5
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,oba,http://purl.obolibrary.org/obo/BFO_0000141,0.4125140309333801,1
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/BFO_0000040,material entity; An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,oba,http://purl.obolibrary.org/obo/BFO_0000040,0.5393719673156738,2
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/UBERON_0000465,material anatomical entity,oba,http://purl.obolibrary.org/obo/UBERON_0000465,0.6176352500915527,3
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/UBERON_0000466,immaterial anatomical entity,oba,http://purl.obolibrary.org/obo/UBERON_0000466,0.6584818959236145,4
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/UBERON_0001062,anatomical entity,oba,http://purl.obolibrary.org/obo/UBERON_0001062,0.7141290307044983,5
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/BFO_0000019,quality,oba,http://purl.obolibrary.org/obo/BFO_0000019,1.4743802694283659e-06,1
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/PATO_0000001,quality,oba,http://purl.obolibrary.org/obo/PATO_0000001,1.4743802694283659e-06,2
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/PATO_0002198,quality of a substance,oba,http://purl.obolibrary.org/obo/PATO_0002198,0.7540650367736816,3
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/PATO_0001546,quality of a solid,oba,http://purl.obolibrary.org/obo/PATO_0001546,0.859696626663208,4
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/PATO_0001236,process quality; See comments of relational quality of a physical entity.,oba,http://purl.obolibrary.org/obo/PATO_0001236,0.8915073871612549,5
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,oba:class:http://purl.obolibrary.org/obo/PR_P80370,protein delta homolog 1 (human); Category=organism-gene.,oba,http://purl.obolibrary.org/obo/PR_P80370,1.0023391246795654,1
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,oba:class:http://purl.obolibrary.org/obo/PR_Q6UY11,protein delta homolog 2 (human); Category=organism-gene.,oba,http://purl.obolibrary.org/obo/PR_Q6UY11,1.0178498029708862,2
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,oba:class:http://purl.obolibrary.org/obo/PR_000006521,protein delta homolog 1; Category=gene.,oba,http://purl.obolibrary.org/obo/PR_000006521,1.024462342262268,3
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,oba:class:http://purl.obolibrary.org/obo/PR_000006522,protein delta homolog 2; Category=gene.,oba,http://purl.obolibrary.org/obo/PR_000006522,1.0323350429534912,4
