ontologyId	id	title	description	homepage	version	numberOfTerms	numberOfProperties	numberOfIndividuals	status
ado	ado	Alzheimer's Disease Ontology (ADO)	Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer'S Disease, foundamentally structured by upper level Basic Formal Ontology(BFO). This Ontology is enriched by the interrelational entities that demonstrate the nextwork of the understanding on Alzheimer's disease and can be readily applied for text mining.	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	2.0.1	1963	186	2	LOADED
afpo	afpo	African Population Ontology	AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people in a standardised and structured format. The AfPO can be employed to classify African study participants comprehensively in prospective research studies. It can also be used to classify past study participants by mapping them using a language or ethnicity identifier or synonyms.	https://github.com/h3abionet/afpo	2024-03-21	473	62	19	LOADED
agro	agro	Agronomy Ontology	AgrO is an ontlogy for representing agronomic practices, techniques, variables and related entities	https://github.com/AgriculturalSemantics/agro		4162	293	552	LOADED
aism	aism	Ontology for the Anatomy of the Insect SkeletoMuscular system	The ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) contains terms used to describe the cuticle - as a single anatomical structure - and the skeletal muscle system, to be used in insect biodiversity research.	https://github.com/insect-morphology/aism	2025-03-18	8587	571	18	LOADED
amphx	amphx	Amphioxus Development and Anatomy Ontology (AMPHX)	An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).	https://github.com/EBISPOT/amphx_ontology		403	10	0	LOADED
apo	apo	Ascomycete Phenotype Ontology (APO)	A structured controlled vocabulary for the phenotypes of Ascomycete fungi.	http://www.yeastgenome.org/	2025-08-01	619	27	0	LOADED
apollo_sv	apollo_sv	Apollo Structured Vocabulary	An OWL2 ontology of phenomena in infectious disease epidemiology and population biology for use in epidemic simulation.	https://github.com/ApolloDev/apollo-sv	2024-12-24	1715	396	27	LOADED
aro	aro	Antibiotic Resistance Ontology	Antibiotic resistance genes and mutations	https://github.com/arpcard/aro		8582	32	0	LOADED
bco	bco	Biological Collections Ontology	An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys.	https://github.com/BiodiversityOntologies/bco	2021-11-14	253	472	64	LOADED
bfo	bfo	Basic Formal Ontology	The upper level ontology upon which OBO Foundry ontologies are built.	http://ifomis.org/bfo/		35	22	0	LOADED
bmont	bmont	Biomarker Ontology (BMONT)	An application ontology that represents comprehensive knowledge involving a variety of fields of medical and biological aspects.	https://github.com/SCAI-BIO/BiomarkerOntology	2025-06-20	640	171	0	LOADED
bspo	bspo	Biological Spatial Ontology	An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides and surfaces. These concepts can be used at multiple biological scales and in a diversity of taxa, including plants, animals and fungi. The BSPO is used to provide a source of anatomical location descriptors for logically defining anatomical entity classes in anatomy ontologies.	https://github.com/obophenotype/biological-spatial-ontology	2023-05-27	169	236	18	LOADED
bto	bto	The BRENDA Tissue Ontology (BTO)	A structured controlled vocabulary for the source of an enzyme comprising tissues, cell lines, cell types and cell cultures.	http://www.brenda-enzymes.org		6569	37	0	LOADED
cdao	cdao	Comparative Data Analysis Ontology	a formalization of concepts and relations relevant to evolutionary comparative analysis	https://github.com/evoinfo/cdao		164	144	26	LOADED
cdno	cdno	Compositional Dietary Nutrition Ontology	The CDNO provides structured terminologies to describe nutritional attributes of material entities that contribute to human diet. These terms are intended primarily to be associated with datasets that quantify concentration of chemical nutritional components derived from samples taken from any stage in the production of food raw materials (including from crops, livestock, fisheries) and through processing and supply chains. Additional knowledge associated with these dietary sources may be represented by terms that describe functional, physical and other attributes. Whilst recognising that dietary nutrients within food substrates may be present as complex and dynamic physical and chemical structures or mixtures, CDNO focuses on components typically quantified in an analytical chemistry laboratory. The primary CDNO class ‘dietary nutritional component’ contains hierarchical sets of terms organised to reflect commonly used classifications of chemical food composition. This class does not represent an exhaustive classification of chemical components, but focuses on structuring terms according to widely accepted categories. This class is independent of, but may be used in conjunction with, classes that describe ‘analytical methods’ for quantification, ‘physical properties’ or ‘dietary function’. Quantification data may be used and reported in research literature, to inform food composition tables and labelling, or for supply chain quality assurance and control. More specifically, terms within the ‘nutritional component concentration’ class may be used to represent quantification of components described in the ‘dietary nutritional component’ class. Concentration data are intended to be described in conjunction with post-composed metadata concepts, such as represented by the Food Ontology (FoodOn) ‘Food product by organism’, which derives from some food or anatomical entity and a NCBI organismal classification ontology (NCBITaxon) entity. The common vocabulary and relationships defined within CDNO should facilitate description, communication and exchange of material entity-derived nutritional composition datasets typically generated by analytical laboratories. The organisation of the vocabulary is structured to reflect common categories variously used by those involved in crop, livestock or other organismal production, associated R&D and breeding, as well as the food processing and supply sector, and nutritionists, inlcuding compilers and users of food composition databases. The CDNO therefore supports characterisation of genetic diversity and management of biodiversity collections, as well as sharing of knowledge relating to dietary composition between a wider set of researchers, breeders, farmers, processors and other stakeholders. Further development of the functional class should also assist in understanding how interactions between organismal genetic and environmental variation contribute to human diet and health in the farm to fork continuum.	https://cdno.info/		2109	268	59	LOADED
chebi	chebi	Chemical Entities of Biological Interest	A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.	http://www.ebi.ac.uk/chebi	245	223956	48	0	LOADED
cheminf	cheminf	chemical information ontology (cheminf) - information entities about chemical entities	Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.	https://github.com/semanticchemistry/semanticchemistry	2.1.0	2134	515	20	LOADED
chiro	chiro	CHEBI Integrated Role Ontology	CHEBI provides a distinct role hierarchy. Chemicals in the structural hierarchy are connected via a 'has role' relation. CHIRO provides links from these roles to useful other classes in other ontologies. This will allow direct connection between chemical structures (small molecules, drugs) and what they do. This could be formalized using 'capable of', in the same way Uberon and the Cell Ontology link structures to processes.	https://github.com/obophenotype/chiro		13279	59	0	LOADED
chmo	chmo	Chemical Methods Ontology	CHMO, the chemical methods ontology, describes methods used to	https://github.com/rsc-ontologies/rsc-cmo	2025-01-22	3230	178	131	LOADED
cido	cido	CIDO: Ontology of Coronavirus Infectious Disease	The Ontology of Coronavirus Infectious Disease (CIDO) is a community-driven open-source biomedical ontology in the area of coronavirus infectious disease. The CIDO is developed to provide standardized human- and computer-interpretable annotation and representation of various coronavirus infectious diseases, including their etiology, transmission, pathogenesis, diagnosis, prevention, and treatment.	https://github.com/cido-ontology/cido	2024-02-16	31924	574	461	LOADED
cio	cio	Confidence Information Ontology	An ontology to capture confidence information about annotations.	https://github.com/BgeeDB/confidence-information-ontology		44	17	0	LOADED
cl	cl	Cell Ontology	An ontology of cell types.	https://obophenotype.github.io/cell-ontology/	2025-10-16	18819	458	170	LOADED
clao	clao	Collembola Anatomy Ontology	CLAO is an ontology of anatomical terms employed in morphological descriptions for the Class Collembola (Arthropoda: Hexapoda).	https://github.com/luis-gonzalez-m/Collembola	2020-16-05	1516	42	0	LOADED
clo	clo	CLO: Cell Line Ontology	The Cell Line Ontology (CLO) is a community-based ontology of cell lines. The CLO is developed to unify publicly available cell line entry data from multiple sources to a standardized logically defined format based on consensus design patterns.	https://github.com/CLO-Ontology/CLO	2.1.188	43327	392	26	LOADED
clyh	clyh	Clytia hemisphaerica Development and Anatomy Ontology (CLYH)	Anatomy, development and life cycle stages - planula, polyp, medusa/jellyfish - of the cnidarian hydrozoan species, Clytia hemiphaerica.	https://github.com/EBISPOT/clyh_ontology		265	9	0	LOADED
cmo	cmo	Clinical measurement ontology	Morphological and physiological measurement records generated from clinical and model organism research and health programs.	http://rgd.mcw.edu/rgdweb/ontology/search.html		4105	23	0	LOADED
cob	cob	Core Ontology for Biology and Biomedicine	COB brings together key terms from a wide range of OBO projects to improve interoperability.	https://obofoundry.org/COB/	2025-06-30	68	37	0	LOADED
colao	colao	Coleoptera Anatomy Ontology	The Coleoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of beetles in biodiversity research.	https://github.com/insect-morphology/colao	2024-06-21	894	58	0	LOADED
cro	cro	Contributor Role Ontology	A classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to enable improved systems of attribution, credit, and accountability.	https://github.com/data2health/contributor-role-ontology		145	73	42	LOADED
cteno	cteno	Ctenophore Ontology	An anatomical and developmental ontology for ctenophores (Comb Jellies)	https://github.com/obophenotype/ctenophore-ontology		709	315	18	LOADED
cvdo	cvdo	Cardiovascular Disease Ontology	An ontology to describe entities related to cardiovascular diseases	https://github.com/OpenLHS/CVDO	2024-05-17	720	118	9	LOADED
ddanat	ddanat	Dicty Anatomy Ontology (DDANAT)	A structured controlled vocabulary of anatomies of the slime-mold Dictyostelium discoideum.	http://dictybase.org/		135	26	0	LOADED
ddpheno	ddpheno	Dicty Phenotype Ontology (DDPHENO)	A structured controlled vocabulary of phenotypes of the slime-mould Dictyostelium discoideum.	http://dictybase.org/	2023-08-26	1373	24	0	LOADED
dideo	dideo	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology	The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology	https://github.com/DIDEO/DIDEO	2023-10-16	684	305	24	LOADED
disdriv	disdriv	Disease Drivers	Drivers of human diseases including environmental, maternal and social exposures.	https://disease-ontology.org/	2025-03-20	83	13	0	LOADED
doid	doid	Human Disease Ontology	The Disease Ontology has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of human disease terms, phenotype characteristics and related medical vocabulary disease concepts.	https://disease-ontology.org	2025-09-30	19352	183	0	LOADED
dpo	dpo	Drosophila Phenotype Ontology	An ontology of commonly encountered and/or high level Drosophila phenotypes.	http://purl.obolibrary.org/obo/fbcv	2025-10-17	1680	286	44	LOADED
