ontologyId,title,count,score,reason,description
pco,Population and Community Ontology,435,9,population/community,"The Population and Community Ontology (PCO) describes material entities, qualities, and processes related to collections of interacting organisms such as populations and communities. It is taxon neutr"
afpo,African Population Ontology,554,9,population/community,"AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people i"
bco,Biological Collections Ontology,786,9,environmental conditions,"An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys."
ppo,Plant Phenology Ontology,964,9,population/community,"An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales."
unimod,Unimod protein modification database for mass spectrometry,1534,9,population/community,"Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for t"
ovae,OVAE: Ontology of Vaccine Adverse Events,1821,9,population/community,OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE). 
opmi,OPMI: Ontology of Precision Medicine and Investigation,3471,9,population/community,OPMI is a biomedical ontology in the area of precision medicine and its related investigations. It is community-driven and developed by following the OBO Foundry ontology development principles.
envo,The Environment Ontology,7365,9,environmental conditions,"ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities"
rbo,Radiation Biology Ontology,9797,9,environmental conditions,RBO is an ontology for the effects of radiation on biota in terrestrial and space environments.
vo,Vaccine Ontology,15337,9,population/community,"The Vaccine Ontology (VO) is a community-based biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine types and annotations, integrate various vaccine data, and s"
sepio,Ontology for Scientific Evidence and Provenance Information,456,8,experimental/evidence,An ontology for representing the provenance of scientific claims and the evidence that supports them.
duo,Data Use Ontology,458,8,experimental/evidence,DUO is an ontology which represent data use conditions.
geno,GENO ontology,653,8,experimental/evidence,"GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to"
ontoavida,OntoAvida: ontology for Avida digital evolution platform.,732,8,experimental/evidence,The Ontology for Avida (OntoAvida) project aims to develop an integrated vocabulary for the description of the most widely used computational approach for performing experimental evolution using digit
dideo,Drug-drug Interaction and Drug-drug Interaction Evidence Ontology,875,8,pathogen/host interaction; experimental/evidence; unrelated domain,The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology
xco,Experimental condition ontology,1649,8,experimental/evidence,Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.
peco,Plant Experimental Conditions Ontology,3280,8,experimental/evidence,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments."
eco,Evidence & Conclusion Ontology (ECO),3449,8,experimental/evidence,"The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation"
efo,Experimental Factor Ontology,67290,8,experimental/evidence,"The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combi"
pride,Proteomics Identification Database Ontology,71211,8,experimental/evidence,"Proteomics Identification Database Ontology, terms describing proteomics data and experimental metadata"
fypo,Fission Yeast Phenotype Ontology (FYPO),17232,6,phenotype-centric; fungal (lower priority than bacterial),A formal ontology of phenotypes observed in fission yeast.
pcl,Provisional Cell Ontology,207627,3,experimental/evidence; very large,Cell types that are provisionally defined by experimental techniques such as single cell transcriptomics rather than a straightforward & coherent set of properties.
Latitude (min/max) ,Unknown,1,0,no keywords matched,
Location ,Unknown,1,0,no keywords matched,
dc,,15,0,no keywords matched,
rdfs,The RDF Schema vocabulary (RDFS),15,0,no keywords matched,
oio,,29,0,no keywords matched,
skos,,32,0,no keywords matched,
trans,Pathogen Transmission Ontology,51,0,pathogen/host interaction; unrelated domain,"The Pathogen Transmission Ontology describes the tranmission methods of human disease pathogens describing how a pathogen is transmitted from one host, reservoir, or source to another host. The pathog"
bfo,Basic Formal Ontology,57,0,no keywords matched,The upper level ontology upon which OBO Foundry ontologies are built.
cio,Confidence Information Ontology,61,0,no keywords matched,An ontology to capture confidence information about annotations.
semapv,Semantic Mapping Vocabulary,67,0,no keywords matched,"The Semantic Mapping Vocabulary (SEMAPV) captures concepts and relations related to semantic matching, including types of matching (e.g. lexical, manually curated), preprocessing methods and specialis"
dcterms,,77,0,no keywords matched,
hom,Homology Ontology,84,0,no keywords matched,"This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology."
taxrank,Taxonomic rank vocabulary,88,0,no keywords matched,"A vocabulary of taxonomic ranks (species, family, phylum, etc)"
owl,The OWL 2 Schema vocabulary (OWL 2),90,0,no keywords matched,
orth,Orthology Ontology,100,0,no keywords matched,The need of a common ontology for describing orthology information in biological research communities has led to the creation of the Orthology Ontology (ORTH). ORTH ontology is designed to describe se
