ontologyId,title,count,score,reason,description
cco,Cell Cycle Ontology,277697,-5,very large,The Cell Cycle Ontology extends existing ontologies for cell cycle knowledge building a resource that integrates and manages knowledge about the cell cycle components and regulatory aspects.
bila,Bilateria anatomy,134,-8,anatomy not phenotype,
ddanat,Dicty Anatomy Ontology (DDANAT),161,-8,anatomy not phenotype,A structured controlled vocabulary of anatomies of the slime-mold Dictyostelium discoideum.
clyh,Clytia hemisphaerica Development and Anatomy Ontology (CLYH),274,-8,anatomy not phenotype,"Anatomy, development and life cycle stages - planula, polyp, medusa/jellyfish - of the cnidarian hydrozoan species, Clytia hemiphaerica."
aeo,Anatomical Entity Ontology,276,-8,anatomy not phenotype,"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology"
vsao,Vertebrate Skeletal Anatomy Ontology-,356,-8,anatomy not phenotype,Vertebrate skeletal anatomy ontology.
amphx,Amphioxus Development and Anatomy Ontology (AMPHX),413,-8,anatomy not phenotype,An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).
tads,Tick Anatomy Ontology,645,-8,anatomy not phenotype,"The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>"
caro,Common Anatomy Reference Ontology,999,-8,anatomy not phenotype,"The Common Anatomy Reference Ontology (CARO) is being developed to facilitate interoperability between existing anatomy ontologies for different species, and will provide a template for building new a"
clao,Collembola Anatomy Ontology,1558,-8,anatomy not phenotype,CLAO is an ontology of anatomical terms employed in morphological descriptions for the Class Collembola (Arthropoda: Hexapoda).
xao,Xenopus Anatomy Ontology,1873,-8,anatomy not phenotype,XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.
tgma,Mosquito gross anatomy ontology,1889,-8,anatomy not phenotype,A structured controlled vocabulary of the anatomy of mosquitoes.
po,Plant Ontology,2216,-8,anatomy not phenotype,"The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data."
ehdaa2,"Human developmental anatomy, abstract",2761,-8,anatomy not phenotype,A structured controlled vocabulary of stage-specific anatomical structures of the developing human.
ma,Mouse adult gross anatomy,3272,-8,anatomy not phenotype,A structured controlled vocabulary of the adult anatomy of the mouse (Mus).
tao,Teleost Anatomy Ontology,3421,-8,anatomy not phenotype,"Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa"
hao,Hymenoptera Anatomy Ontology,5382,-8,anatomy not phenotype,"A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)"
wbbt,C. elegans Gross Anatomy Ontology,7770,-8,anatomy not phenotype,Ontology about the gross anatomy of the C. elegans
ecao,Echinoderm Anatomy and Development Ontology,7993,-8,anatomy not phenotype,None
emapa,Mouse Developmental Anatomy Ontology,8814,-8,anatomy not phenotype,An ontology for mouse anatomy covering embryonic development and postnatal stages.
aism,Ontology for the Anatomy of the Insect SkeletoMuscular system,9176,-8,anatomy not phenotype,"The ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) contains terms used to describe the cuticle - as a single anatomical structure - and the skeletal muscle system, to be used in "
emap,"Mouse gross anatomy and development, timed",19454,-8,anatomy not phenotype,A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).
hcao,Human Cell Atlas Ontology,23348,-8,anatomy not phenotype,"Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas."
uberon,Uber-anatomy ontology,27334,-8,anatomy not phenotype,"Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage."
fbbt,Drosophila gross anatomy,29628,-8,anatomy not phenotype,An ontology representing the gross anatomy of Drosophila melanogaster.
fma,Foundational Model of Anatomy Ontology (subset),78992,-8,anatomy not phenotype,This is currently a slimmed down version of FMA
fao,Fungal gross anatomy,147,-9,"fungal (small, acceptable); anatomy not phenotype",A structured controlled vocabulary for the anatomy of fungi.
pdumdv,Platynereis Developmental Stages,38,-12,unrelated domain,Life cycle stages for Platynereis dumerilii
olatdv,Medaka Developmental Stages,62,-12,unrelated domain,Life cycle stages for Medaka
zfs,Zebrafish developmental stages ontology,75,-12,unrelated domain,Developmental stages of the Zebrafish
geo,Geographical Entity Ontology,196,-12,unrelated domain,An ontology of geographical entities
mmusdv,Mouse Developmental Stages,217,-12,unrelated domain,Life cycle stages for Mus Musculus
labo,clinical LABoratory Ontology,247,-12,unrelated domain,LABO is an ontology of informational entities formalizing clinical laboratory tests prescriptions and reporting documents.
ogms,Ontology for General Medical Science,263,-12,unrelated domain,"The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'dise"
hsapdv,Human Developmental Stages,302,-12,unrelated domain,Life cycle stages for Human
pdro,The Prescription of Drugs Ontology,403,-12,unrelated domain,An ontology to describe entities related to prescription of drugs
idocovid19,The COVID-19 Infectious Disease Ontology,618,-12,unrelated domain,The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guid
ogsf,Ontology of Genetic Susceptibility Factor,641,-12,unrelated domain,"An application ontology to represent genetic susceptibility to a specific disease, adverse event, or a pathological process."
cvdo,Cardiovascular Disease Ontology,847,-12,unrelated domain,An ontology to describe entities related to cardiovascular diseases
htn,Hypertension Ontology For Clinical Data,1018,-12,unrelated domain,"An ontology for representing clinical data about hypertension, intended to support classification of patients according to various diagnostic guidelines"
mfomd,Mental Disease Ontology,1038,-12,unrelated domain,The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning On
symp,Symptom Ontology,1042,-12,unrelated domain,The Symptom Ontology has been developed as a standardized ontology for symptoms of human diseases.
cheminf,chemical information ontology (cheminf) - information entities about chemical entities,1073,-12,unrelated domain,Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.
mfmo,Mammalian Feeding Muscle Ontology,1178,-12,unrelated domain,"The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors."
fobi,Food-Biomarker Ontology,1359,-12,unrelated domain,FOBI (Food-Biomarker Ontology) is an ontology to represent food intake data and associate it with metabolomic data
obcs,OBCS: Ontology of Biological and Clinical Statistics,1405,-12,unrelated domain,OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the 
ado,Alzheimer's Disease Ontology (ADO),2151,-12,unrelated domain,"Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer'S Disease, foundamentally structured by upper level Basic Formal Ontology(BFO). T"
scdo,Sickle Cell Disease Ontology,2216,-12,unrelated domain,An ontology for the standardization of terminology and integration of knowledge about Sickle Cell Disease.
ohd,Oral Health and Disease Ontology,3203,-12,unrelated domain,The Oral Health and Disease Ontology is used for representing the diagnosis and treatment of dental maladies.
cmo,Clinical measurement ontology,4101,-12,unrelated domain,Morphological and physiological measurement records generated from clinical and model organism research and health programs.
bto,The BRENDA Tissue Ontology (BTO),6606,-12,unrelated domain,"A structured controlled vocabulary for the source of an enzyme comprising tissues, cell lines, cell types and cell cultures."
fbsp,Fly taxonomy,6620,-12,unrelated domain,The taxonomy of the family <i>Drosophilidae</i> (largely after Baechli) and of other taxa referred to in FlyBase.
cpont,Critical Path Ontology,9245,-12,unrelated domain,An application ontology for integrating data from the Critical Path Institute's Rare Disease Cures Accelerator Data and Analytica Platform (RDCA-DAP).
txpo,TOXic Process Ontology (TXPO),9554,-12,unrelated domain,Elucidating the mechanism of toxicity is crucial in drug safety evaluations. TOXic Process Ontology (TXPO) systematizes a wide variety of terms involving toxicity courses and processes. The first vers
ordo,Orphanet Rare Disease Ontology,15612,-12,unrelated domain,"The Orphanet Rare Disease ontology (ORDO) is jointly developed by Orphanet and the EBI to provide a structured vocabulary for rare diseases capturing relationships between diseases, genes and other re"
tto,Teleost taxonomy ontology,38732,-12,unrelated domain,An ontology covering the taxonomy of teleosts (bony fish)
foodon,Food Ontology,40123,-12,unrelated domain,A broadly scoped ontology representing entities which bear a “food role”. It encompasses materials in natural ecosystems and agriculture that are consumed by humans and domesticated animals. This incl
lipidmaps,LIPID MAPS,49734,-12,unrelated domain,
mondo,Mondo Disease Ontology,56996,-12,unrelated domain,A semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology.
ogg,OGG: Ontology of Genes and Genomes,69813,-12,unrelated domain,OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selec
vto,Vertebrate Taxonomy Ontology,107281,-12,unrelated domain,Comprehensive hierarchy of extinct and extant vertebrate taxa.
reto,Regulation of Transcription Ontology,147750,-12,unrelated domain,Regulation of Transcription
ncit,NCI Thesaurus OBO Edition,191349,-12,unrelated domain,"NCI Thesaurus (NCIt)is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. The NCIt OBO Edition aims to increase i"
gaz,Gazetteer,678436,-15,very large; too large,A gazetteer constructed on ontological principles. The countries are actively maintained.
slm,SwissLipids,1001034,-15,pathogen/host interaction; very large; too large; unrelated domain,"SwissLipids is a curated resource that provides information about known lipids, including lipid structure, metabolism, interactions, and subcellular and tissue localization. Information is curated fro"
chebi,Chemical Entities of Biological Interest,221776,-17,very large; unrelated domain,A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.
snomed,SNOMED CT (International Edition),352573,-17,very large; unrelated domain,"SNOMED CT or SNOMED Clinical Terms is a systematically organized computer processable collection of medical terms providing codes, terms, synonyms and definitions used in clinical documentation and re"
pr,PRotein Ontology (PRO),364392,-17,very large; unrelated domain,An ontological representation of protein-related entities
plana,Planarian Anatomy Ontology (PLANA),1184,-20,anatomy not phenotype; unrelated domain,"PLANA, the PLANarian Anatomy Ontology, encompasses the anatomy of developmental stages and adult biotypes of Schmidtea mediterranea."
zfa,Zebrafish Anatomy Ontology (ZFA),3329,-20,anatomy not phenotype; unrelated domain,ZFA description.
dron,The Drug Ontology,756397,-27,very large; too large; unrelated domain,An ontology to support comparative effectiveness researchers studying claims data.
ncbitaxon,NCBI organismal classification,2650614,-27,very large; too large; unrelated domain,An ontology representation of the NCBI organismal taxonomy
