ontologyId,title,count,description
ncbitaxon,NCBI organismal classification,2650614,An ontology representation of the NCBI organismal taxonomy
slm,SwissLipids,1001034,"SwissLipids is a curated resource that provides information about known lipids, including lipid structure, metabolism, interactions, and subcellular and tissue localization. Information is curated fro"
dron,The Drug Ontology,756397,An ontology to support comparative effectiveness researchers studying claims data.
gaz,Gazetteer,678436,A gazetteer constructed on ontological principles. The countries are actively maintained.
pr,PRotein Ontology (PRO),364392,An ontological representation of protein-related entities
snomed,SNOMED CT (International Edition),352573,"SNOMED CT or SNOMED Clinical Terms is a systematically organized computer processable collection of medical terms providing codes, terms, synonyms and definitions used in clinical documentation and re"
cco,Cell Cycle Ontology,277697,The Cell Cycle Ontology extends existing ontologies for cell cycle knowledge building a resource that integrates and manages knowledge about the cell cycle components and regulatory aspects.
chebi,Chemical Entities of Biological Interest,221776,A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.
pcl,Provisional Cell Ontology,207627,Cell types that are provisionally defined by experimental techniques such as single cell transcriptomics rather than a straightforward & coherent set of properties.
gno,Glycan Naming Ontology,194587,"An ontology for glycans based on GlyTouCan, but organized by subsumption."
upheno,Unified Phenotype Ontology (uPheno),192001,The uPheno ontology integrates multiple phenotype ontologies into a unified cross-species phenotype ontology.
ncit,NCI Thesaurus OBO Edition,191349,"NCI Thesaurus (NCIt)is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. The NCIt OBO Edition aims to increase i"
gexo,Gene Expression Ontology,166266,Gene Expression Ontology
rexo,Regulation of Gene Expression Ontology,158251,Regulation of Gene Expression
reto,Regulation of Transcription Ontology,147750,Regulation of Transcription
vto,Vertebrate Taxonomy Ontology,107281,Comprehensive hierarchy of extinct and extant vertebrate taxa.
omit,Ontology for MIRNA Target,91043,Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain
go,Gene Ontology,84737,The Gene Ontology (GO) provides a framework and set of concepts for describing the functions of gene products from all organisms.
fma,Foundational Model of Anatomy Ontology (subset),78992,This is currently a slimmed down version of FMA
oba,Ontology of Biological Attributes (OBA),73148,A collection of biological attributes (traits) covering all kingdoms of life. Interoperable with VT (vertebrate trait ontology) and TO (plant trait ontology). Extends PATO.
pride,Proteomics Identification Database Ontology,71211,"Proteomics Identification Database Ontology, terms describing proteomics data and experimental metadata"
ogg,OGG: Ontology of Genes and Genomes,69813,OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selec
efo,Experimental Factor Ontology,67290,"The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combi"
zp,Zebrafish Phenotype Ontology (ZP),63989,The Zebrafish Phenotype Ontology formally defines all phenotypes of the Zebrafish model organism.
mondo,Mondo Disease Ontology,56996,A semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology.
mro,MHC Restriction Ontology,51461,"The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein"
lipidmaps,LIPID MAPS,49734,
clo,CLO: Cell Line Ontology,43745,The Cell Line Ontology (CLO) is a community-based ontology of cell lines. The CLO is developed to unify publicly available cell line entry data from multiple sources to a standardized logically define
foodon,Food Ontology,40123,A broadly scoped ontology representing entities which bear a “food role”. It encompasses materials in natural ecosystems and agriculture that are consumed by humans and domesticated animals. This incl
ictv,,38780,
tto,Teleost taxonomy ontology,38732,An ontology covering the taxonomy of teleosts (bony fish)
flopo,Flora Phenotype Ontology,35359,Traits and phenotypes of flowering plants occurring in digitized Floras
mp,The Mammalian Phenotype Ontology,35325,"The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Anna V. Anagnostopoulos, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Pr"
cido,CIDO: Ontology of Coronavirus Infectious Disease,32942,The Ontology of Coronavirus Infectious Disease (CIDO) is a community-driven open-source biomedical ontology in the area of coronavirus infectious disease. The CIDO is developed to provide standardized
hp,Human Phenotype Ontology,32151,The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.
iceo,ICEO: Ontology of Integrative and Conjugative Elements,31053,A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.
xpo,Xenopus Phenotype Ontology,29943,"XPO represents anatomical, cellular, and gene function phenotypes occurring throughout the development of the African frogs Xenopus laevis and tropicalis."
fbbt,Drosophila gross anatomy,29628,An ontology representing the gross anatomy of Drosophila melanogaster.
uberon,Uber-anatomy ontology,27334,"Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage."
enm,eNanoMapper ontology,27233,"The eNanoMapper project (https://www.enanomapper.net/), NanoCommons project (https://www.nanocommons.eu/) and ACEnano project (http://acenano-project.eu/) are creating a pan-European computational inf"
hcao,Human Cell Atlas Ontology,23348,"Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas."
vbo,Vertebrate Breed Ontology,20045,Vertebrate Breed Ontology is an ontology created to serve as a single computable resource for vertebrate breed names.
emap,"Mouse gross anatomy and development, timed",19454,A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).
doid,Human Disease Ontology,19241,"The Disease Ontology has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of hu"
micro,Ontology of Prokaryotic Phenotypic and Metabolic Characters,17645,An ontology of prokaryotic phenotypic and metabolic characters
cl,Cell Ontology,17521,An ontology of cell types.
fypo,Fission Yeast Phenotype Ontology (FYPO),17232,A formal ontology of phenotypes observed in fission yeast.
