metpo_id	metpo_label	source	match_label	match_iri	match_ontology	match_definition	levenshtein_distance	similarity_ratio
METPO:1000678	oval shaped	OLS	Oval shaped lesion	http://snomed.info/id/129734009	snomed		7	0.7586206896551724
METPO:1000678	oval shaped	OLS	Oval	http://purl.obolibrary.org/obo/NCIT_C48345	ncit	The shape of either an oval or an ellipse.  See also TEAR.	7	0.5333333333333333
METPO:1000678	oval shaped	OLS	Oval macrocyte	http://snomed.info/id/117170009	snomed		9	0.56
METPO:1000678	oval shaped	OLS	oval nucleus	http://purl.obolibrary.org/obo/EMAPA_37667	emapa		6	0.5217391304347826
METPO:1000678	oval shaped	OLS	oval nucleus	http://purl.obolibrary.org/obo/MA_0000929	ma		6	0.5217391304347826
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/MA_0002813	ma		6	0.5454545454545454
METPO:1000678	oval shaped	OLS	Oval window	http://purl.obolibrary.org/obo/FMA_56913	fma		6	0.5454545454545454
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/XAO_0005146	xao	Entrance to the inner ear in the lateral wall of the otic capsule, which contains the footplate of the stapes.	6	0.5454545454545454
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/UBERON_0002501	uberon	The oval opening on the medial wall of the tympanic cavity leading into the vestibule, close to the foot of the stapes.	6	0.5454545454545454
METPO:1000678	oval shaped	OLS	Oval Subthalamic Nucleus	http://purl.obolibrary.org/obo/NCIT_C52725	ncit	An oval shaped cell group located in the subthalamus of the diencephalon, located between the medial part of the cerebral peduncle and the thalamus, and considered part of the functional basal ganglia.	15	0.5142857142857142
METPO:1000678	oval shaped	OLS	ovate	http://purl.obolibrary.org/obo/PATO_0001891	pato	A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.	7	0.5
METPO:1000678	oval shaped	OLS	Oval fat body	http://snomed.info/id/726574005	snomed		7	0.5833333333333333
METPO:1000678	oval shaped	OLS	heart shaped	http://purl.obolibrary.org/obo/PATO_0000948	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having a sinus or rounded lobe at the base.	4	0.6956521739130435
METPO:1000678	oval shaped	OLS	T-shaped	http://purl.obolibrary.org/obo/PATO_0001200	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of the letter T.	5	0.631578947368421
METPO:1000678	oval shaped	OLS	Y-shaped	http://purl.obolibrary.org/obo/PATO_0001201	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of the letter Y.	5	0.631578947368421
METPO:1000678	oval shaped	OLS	spindle-shaped	http://purl.obolibrary.org/obo/PATO_0001409	pato	A shape quality inhering in a bearer by virtue of the bearer's resembling a long tapered rod.	7	0.56
METPO:1000678	oval shaped	OLS	dumbbell-shaped	http://purl.obolibrary.org/obo/PATO_0001876	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar.	8	0.5384615384615384
METPO:1000678	oval shaped	OLS	U-shaped	http://purl.obolibrary.org/obo/PATO_0001879	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of the letter U.	5	0.631578947368421
METPO:1000678	oval shaped	OLS	arrow-shaped	http://purl.obolibrary.org/obo/PATO_0001881	pato	A shape quality inhering in a bearer by virtue of the bearer's forming two equal obtuse triangles with a short side in common.	6	0.6086956521739131
METPO:1000678	oval shaped	OLS	star shaped	http://purl.obolibrary.org/obo/PATO_0002065	pato	A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	3	0.7272727272727273
METPO:1000678	oval shaped	OLS	bullet-shaped	http://purl.obolibrary.org/obo/PATO_0002087	pato	A quality inhering in a bearer by virtue of the bearer's being short and wide and tapered distally.	6	0.5833333333333333
METPO:1000678	oval shaped	OLS	spoon-shaped	http://purl.obolibrary.org/obo/PATO_0002208	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of a spoon.	6	0.6086956521739131
METPO:1000678	oval shaped	OLS	fan-shaped	http://purl.obolibrary.org/obo/PATO_0002219	pato	A quality inhering in a bearer that is shaped in the form of a fan.	4	0.6666666666666667
METPO:1000678	oval shaped	OLS	V-shaped	http://purl.obolibrary.org/obo/PATO_0002224	pato	An angular shape quality inhering in a bearer by virtue of the bearer's having a single angle in its length giving the bearer the form of the letter V.	4	0.736842105263158
METPO:1000678	oval shaped	OLS	L-shaped	http://purl.obolibrary.org/obo/PATO_0002225	pato	An angular shape quality inhering in a bearer by virtue of the bearer's having a single angle in its length giving the bearer the form of the letter L.	4	0.736842105263158
METPO:1000678	oval shaped	OLS	cup-shaped	http://purl.obolibrary.org/obo/PATO_0002227	pato	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's shape form resembling the shape of a cup.	5	0.5714285714285714
METPO:1000678	oval shaped	OLS	hourglass-shaped	http://purl.obolibrary.org/obo/PATO_0002239	pato	A concave 3-D shape that inheres in the bearer by virtue of the bearer's nearly) symmetric shape wide at its ends and narrow in the middle, resembling the figure of number 8.	8	0.5925925925925926
METPO:1000678	oval shaped	OLS	teardrop-shaped	http://purl.obolibrary.org/obo/PATO_0002240	pato	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's shape resembling falling drop.	8	0.5384615384615384
METPO:1000678	oval shaped	OLS	fiber shaped	http://purl.obolibrary.org/obo/PATO_0002309	pato	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length, which is many times larger than its diameter.	5	0.6086956521739131
METPO:1000678	oval shaped	OLS	diamond shaped	http://purl.obolibrary.org/obo/PATO_0002320	pato	A superelliptic shape inhering in a bearer by virtue of the bearer's shape resembling a diamond.	6	0.64
METPO:1000678	oval shaped	OLS	lemon-shaped	http://purl.obolibrary.org/obo/PATO_0002345	pato	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's having a quadric surface in three dimensions obtained by rotating less than half of a circular arc about an axis passing through the endpoints of the arc	6	0.6086956521739131
