ontology	high_quality_matches	avg_similarity	total_matches
snomed	1431	0.5152440018675982	2640
METPO	1395	0.6990968427731539	1732
ncit	908	0.49198113941749505	1855
pato	691	0.575219433293138	827
ncbitaxon	616	0.4179226649127222	1688
SNOMEDCT	549	0.5255567228992458	986
flopo	449	0.5832673794805959	664
afo	443	0.5662389438341143	577
OCHV	431	0.5931600934253626	600
micro	356	0.5464332777863027	590
FLOPO	330	0.6137752009940616	447
NCIT	296	0.5320371514200835	509
IOBC	290	0.5838645947314187	385
RCD	266	0.5395628695305851	480
PATO	239	0.5864371018280632	300
LOINC	232	0.5486599543195207	363
RH-MESH	228	0.5695691831968065	362
omit	202	0.5715715971813957	289
BERO	190	0.5852976313630766	267
mesh	176	0.4169941420235645	619
go	176	0.5009629315553081	374
omp	166	0.4760435643308675	389
UPHENO	141	0.602526829766485	209
upheno	137	0.5522889580590051	250
OMP	111	0.5682058348775055	175
MPO	108	0.7828722045118562	125
MEDDRA	104	0.545656370602152	163
NIFSTD	100	0.5951602904532758	146
DREAMDNPTO	87	0.6657814103506625	89
MESH	85	0.48069228454542	198
BIOMODELS	84	0.6252442580506721	107
oba	83	0.47524620355526187	196
OMIT	78	0.6138521493859658	114
OMIM	73	0.4234728851966914	241
D3O	69	0.5291551978193765	121
PMAPP-PMO	66	0.6171092511876062	78
zp	66	0.45067566247374363	179
SWEET	63	0.6661240558707094	78
GALEN	63	0.5594989563050797	87
ms	63	0.48237886562499055	113
ZP	62	0.5896340086574406	90
doid	59	0.5418642030344931	115
GAZ	56	0.6110105271210231	77
to	55	0.5990952089699177	62
envo	55	0.562641628846707	87
AURA	55	0.6102324312773343	79
NMDCO	55	0.6637387469148819	65
foodon	54	0.49712729416324963	102
fypo	52	0.42895425650075575	204
OFL	52	0.7028097419381073	55
OBA	51	0.6490056659666326	65
MDM	51	0.5975213708447693	72
CCONT	50	0.7110109038233272	66
GO-PLUS	49	0.6281654119438161	64
GO	49	0.5878968056766071	70
efo	49	0.5011633420804819	119
NIFDYS	49	0.7093937858960823	52
fbcv	48	0.5920423087878667	66
fma	48	0.5483489878447732	77
PDRO	48	0.690577076329856	53
FNS-H	46	0.59878695742804	58
wikipathways	45	0.6883148119692417	51
HED	44	0.6040470173972721	55
CHEAR	44	0.586952373926128	73
pride	43	0.48781138811368596	82
RCTV2	42	0.5166104837918548	85
ENVTHES	42	0.6482526903946492	53
PCAO	42	0.6736832577355811	42
nbo	42	0.6241029660937305	53
HUPSON	42	0.6179522833650485	67
cmo	40	0.3839962965346984	129
ENVO	40	0.633286273435427	47
HP	38	0.5788561603614368	45
MEO	37	0.5556491937966206	60
enm	35	0.6996862609328139	39
PMR	34	0.6713850358429587	34
scdo	34	0.553095600208348	41
PEDTERM	34	0.6547824898755381	35
HL7	33	0.53615235997564	57
VALUESETS	33	0.6061514906027026	36
CRISP	33	0.6030695393820006	47
TRAK	32	0.6511566972212525	36
mp	31	0.506590929416224	83
XEO	31	0.4322338105202556	75
ESSO	30	0.6889375877742142	30
EP	30	0.6771728818918612	30
HASCO	30	0.573748773493792	49
REGN_GO	30	0.6289812233535789	41
obi	30	0.48985399667636287	56
reproduceme	30	0.47007062625731044	60
NCBITAXON	30	0.4976760509906008	48
cmpo	29	0.5153691058465764	62
chmo	29	0.4705736046958919	87
SCIO	29	0.678211297697463	29
MO	29	0.6897055505710261	29
ecocore	29	0.6168122868253783	45
PTS	28	0.6341789954871736	28
ERO	28	0.6495412672881626	33
opmi	28	0.5600078884646966	37
CSEO	27	0.5774532590854771	38
uberon	27	0.5168176937409639	48
obcs	27	0.4939601762968421	62
PHAGE	27	0.628658927761372	38
cl	27	0.48714060417578803	77
OBCS	27	0.5801678353830912	40
