metpo_id,metpo_label,match_iri,match_ontology,match_distance,metpo_sibling_count,external_sibling_count,coherent_sibling_count,coherence_score
METPO:1000059,phenotype,http://purl.obolibrary.org/obo/FYPO_0000001,upheno,0.0,0,0,0,
METPO:1000060,metabolism,<http://doi.org/10.1601/Metabolism>,n4l_merged,0.16239199999999998,28,1,0,0.0
METPO:1000127,GC content,<https://purl.dsmz.de/schema/GCContent>,d3o,0.6703319999999999,3,0,0,0.0
METPO:1000186,material entity,http://purl.obolibrary.org/obo/BFO_0000040,eupath,1.0000000000287557e-06,0,0,0,
METPO:1000188,quality,http://purl.obolibrary.org/obo/BFO_0000019,eco,1.0000000000287557e-06,0,0,0,
METPO:1000232,pH delta,http://purl.obolibrary.org/obo/UO_0000196,foodon,0.710549,28,0,0,0.0
METPO:1000303,temperature delta,<https://mdatahub.org/data/meo/MEO_0001242>,meo,0.686334,28,0,0,0.0
METPO:1000304,temperature optimum,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.270189,28,3,0,0.0
METPO:1000306,temperature range,<http://doi.org/10.1601/TemperatureCondition>,n4l_merged,0.64116,28,2,0,0.0
METPO:1000331,pH optimum,http://purl.obolibrary.org/obo/MICRO_0001545,micro,0.319075,2,3,0,0.0
METPO:1000332,pH range,http://purl.obolibrary.org/obo/UO_0000196,foodon,0.584994,2,0,0,0.0
METPO:1000333,NaCl optimum,http://purl.obolibrary.org/obo/MICRO_0001312,micro,0.6856260000000001,3,3,0,0.0
METPO:1000334,NaCl range,http://purl.obolibrary.org/obo/MCO_0000242,mco,0.7943290000000001,3,1,0,0.0
METPO:1000430,GC mid1,http://purl.obolibrary.org/obo/GO_0071162,upheno,0.7522530000000001,7,0,0,0.0
METPO:1000441,temperature optimum very low,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.5155609999999999,6,3,1,0.16666666666666666
METPO:1000442,temperature optimum low,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.366275,6,3,1,0.16666666666666666
METPO:1000443,temperature optimum mid1,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.634171,6,3,1,0.16666666666666666
METPO:1000444,temperature optimum mid2,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.5922350000000001,6,3,1,0.16666666666666666
METPO:1000445,temperature optimum mid3,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.573145,6,3,1,0.16666666666666666
METPO:1000446,temperature optimum mid4,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.5691729999999999,6,3,1,0.16666666666666666
METPO:1000447,temperature optimum high,http://purl.obolibrary.org/obo/MICRO_0001311,micro,0.320242,6,3,0,0.0
METPO:1000448,temperature range very low,<http://doi.org/10.1601/ExtremeLowTemperatureCondition>,n4l_merged,0.595161,6,1,0,0.0
METPO:1000449,temperature range low,<http://doi.org/10.1601/MidRangeTemperatureCondition>,n4l_merged,0.670344,6,3,2,0.3333333333333333
METPO:1000450,temperature range mid1,<http://doi.org/10.1601/MidRangeTemperatureCondition>,n4l_merged,0.658077,6,3,3,0.5
METPO:1000451,temperature range mid2,<http://doi.org/10.1601/MidRangeTemperatureCondition>,n4l_merged,0.681181,6,3,3,0.5
METPO:1000454,temperature range high,<http://doi.org/10.1601/ExtremeHighTemperatureCondition>,n4l_merged,0.6568240000000001,6,1,0,0.0
METPO:1000455,pH optimum low,http://purl.obolibrary.org/obo/MICRO_0001545,micro,0.42939400000000005,3,3,1,0.3333333333333333
METPO:1000456,pH optimum mid1,http://purl.obolibrary.org/obo/MICRO_0001545,micro,0.556647,3,3,1,0.3333333333333333
METPO:1000457,pH optimum mid2,http://purl.obolibrary.org/obo/MICRO_0001545,micro,0.528849,3,3,1,0.3333333333333333
METPO:1000458,pH optimum high,http://purl.obolibrary.org/obo/MICRO_0001545,micro,0.30811999999999995,3,3,0,0.0
METPO:1000460,pH range low,http://purl.obolibrary.org/obo/FYPO_0001989,upheno,0.664547,5,0,0,0.0
METPO:1000461,pH range mid1,<https://purl.dsmz.de/schema/MinimumPH>,d3o,0.7463230000000001,5,0,0,0.0
METPO:1000462,pH range mid2,http://purl.obolibrary.org/obo/MICRO_0001405,micro,0.731231,5,2,1,0.2
METPO:1000463,pH range mid3,http://purl.obolibrary.org/obo/MCO_0000720,mco,0.587275,5,8,2,0.4
METPO:1000464,pH range high,http://purl.obolibrary.org/obo/FYPO_0001987,upheno,0.668694,5,0,0,0.0
METPO:1000465,NaCl optimum low,http://purl.obolibrary.org/obo/MICRO_0001312,micro,0.7052700000000001,3,3,0,0.0
METPO:1000466,NaCl optimum mid1,http://purl.obolibrary.org/obo/MCO_0000243,mco,0.771697,3,1,0,0.0
METPO:1000468,NaCl optimum high,http://purl.obolibrary.org/obo/MICRO_0001312,micro,0.6938759999999999,3,3,0,0.0
METPO:1000470,NaCl range mid1,http://purl.obolibrary.org/obo/MCO_0000242,mco,0.77686,3,1,0,0.0
METPO:1000473,pH delta very low,http://purl.obolibrary.org/obo/MCO_0000720,mco,0.71041,5,8,0,0.0
METPO:1000474,pH delta low,http://purl.obolibrary.org/obo/GO_0045851,oba,0.7264390000000001,5,0,0,0.0
METPO:1000477,pH delta mid3,http://purl.obolibrary.org/obo/MCO_0000720,mco,0.748993,5,8,1,0.2
METPO:1000483,temperature delta very low,<http://doi.org/10.1601/ExtremeLowTemperatureCondition>,n4l_merged,0.7321679999999999,4,1,0,0.0
METPO:1000484,temperature delta low,<https://mdatahub.org/data/meo/MEO_0001242>,meo,0.790834,4,0,0,0.0
METPO:1000487,temperature delta high,<https://mdatahub.org/data/meo/MEO_0001242>,meo,0.773466,4,0,0,0.0
METPO:1000525,microbe,<http://purl.org/zonmw/generic/10024>,id-amr,0.382946,9,0,0,0.0
METPO:1000526,chemical entity,https://w3id.org/biolink/vocab/ChemicalEntity,biolink,1.0000000000287557e-06,9,0,0,0.0
METPO:1000531,pH phenotype with numerical limits,http://purl.obolibrary.org/obo/OMP_0005008,omp,0.776664,0,5,0,
METPO:1000532,salinity phenotype with numerical limits,<https://mdatahub.org/data/meo/MEO_0001245>,meo,0.608601,0,0,0,
METPO:1000533,temperature phenotype with numerical limits,<http://doi.org/10.1601/TemperaturePhenotype>,n4l_merged,0.570468,0,4,0,
METPO:1000601,oxygen preference,<http://doi.org/10.1601/OxygenPhenotype>,n4l_merged,0.5480940000000001,0,4,0,
METPO:1000602,aerobic,http://purl.obolibrary.org/obo/MICRO_0000494,micro,1.999999999946489e-06,0,3,0,
METPO:1000603,anaerobic,http://purl.obolibrary.org/obo/MICRO_0000495,micro,0.0,0,3,0,
