?id	?label
<https://w3id.org/metpo/1000632>	"autotrophic"
<https://w3id.org/metpo/1000633>	"carboxydotrophic"
<https://w3id.org/metpo/1000634>	"chemoautolithotrophic"
<https://w3id.org/metpo/1000635>	"chemoautotrophic"
<https://w3id.org/metpo/1000636>	"chemoheterotrophic"
<https://w3id.org/metpo/1000637>	"chemolithoautotrophic"
<https://w3id.org/metpo/1000638>	"chemolithoheterotrophic"
<https://w3id.org/metpo/1000639>	"chemolithotrophic"
<https://w3id.org/metpo/1000640>	"chemoorganoheterotrophic"
<https://w3id.org/metpo/1000641>	"chemotrophic"
<https://w3id.org/metpo/1000642>	"copiotrophic"
<https://w3id.org/metpo/1000644>	"heterotrophic"
<https://w3id.org/metpo/1000646>	"hydrogenotrophic"
<https://w3id.org/metpo/1000647>	"lithoautotrophic"
<https://w3id.org/metpo/1000648>	"lithoheterotrophic"
<https://w3id.org/metpo/1000649>	"lithotrophic"
<https://w3id.org/metpo/1000650>	"methanotrophic"
<https://w3id.org/metpo/1000651>	"methylotrophic"
<https://w3id.org/metpo/1000652>	"mixotrophic"
<https://w3id.org/metpo/1000654>	"oligotrophic"
<https://w3id.org/metpo/1000655>	"organotrophic"
<https://w3id.org/metpo/1000656>	"photoautotrophic"
<https://w3id.org/metpo/1000657>	"photoheterotrophic"
<https://w3id.org/metpo/1000658>	"photolithotrophic"
<https://w3id.org/metpo/1000659>	"photoorganoheterotrophic"
<https://w3id.org/metpo/1000660>	"phototrophic"
<https://w3id.org/metpo/1000663>	"chemoorganotrophic"
<https://w3id.org/metpo/1000664>	"organoheterotrophic"
<https://w3id.org/metpo/1000665>	"photolithoautotrophic"
<https://w3id.org/metpo/1000859>	"Hydrogen oxidation"
<https://w3id.org/metpo/1000860>	"Sulfur oxidation"
<https://w3id.org/metpo/1000861>	"Nitrification"
<https://w3id.org/metpo/1000862>	"Comammox"
<https://w3id.org/metpo/1000863>	"Carbon monoxide oxidation"
<https://w3id.org/metpo/1002000>	"Sulfate-dependent methane oxidation"
<https://w3id.org/metpo/1002001>	"Fe(III)-dependent methane oxidation"
<https://w3id.org/metpo/1002002>	"Mn(IV)-dependent methane oxidation"
<https://w3id.org/metpo/1002003>	"Cable bacteria metabolism"
<https://w3id.org/metpo/1002004>	"Cellular respiration"
<https://w3id.org/metpo/1002005>	"Fermentation"
<https://w3id.org/metpo/1002006>	"Syntrophy"
<https://w3id.org/metpo/1002007>	"Sulfur disproportionation"
<https://w3id.org/metpo/1002008>	"Nitrogen fixation"
<https://w3id.org/metpo/1002009>	"Nitrate-reducing"
<https://w3id.org/metpo/1002010>	"Anaerobic ammonium-oxidizing"
<https://w3id.org/metpo/1002011>	"Nitrous oxide-reducing"
<https://w3id.org/metpo/1002012>	"Sulfate-reducing"
<https://w3id.org/metpo/1002013>	"Sulfur-reducing"
<https://w3id.org/metpo/1002014>	"Sulfite-reducing"
<https://w3id.org/metpo/1002015>	"Thiosulfate-reducing"
<https://w3id.org/metpo/1002016>	"Sulfur-disproportionating"
<https://w3id.org/metpo/1002017>	"Sulfide-oxidizing"
<https://w3id.org/metpo/1002018>	"Thiosulfate-oxidizing"
<https://w3id.org/metpo/1002019>	"Sulfite-oxidizing"
<https://w3id.org/metpo/1002020>	"Iron-reducing"
<https://w3id.org/metpo/1002021>	"Iron-oxidizing"
<https://w3id.org/metpo/1002022>	"Nitrate-dependent Fe(II)-oxidizing"
<https://w3id.org/metpo/1002023>	"Manganese-reducing"
<https://w3id.org/metpo/1002024>	"Manganese-oxidizing"
<https://w3id.org/metpo/1002025>	"Uranium-reducing"
<https://w3id.org/metpo/1002026>	"Arsenate-reducing"
<https://w3id.org/metpo/1002027>	"Selenate-reducing"
<https://w3id.org/metpo/1002028>	"Selenite-reducing"
<https://w3id.org/metpo/1002029>	"Perchlorate-reducing"
<https://w3id.org/metpo/1002030>	"Chlorate-reducing"
<https://w3id.org/metpo/1002031>	"Bromate-reducing"
<https://w3id.org/metpo/1002032>	"Iodate-reducing"
<https://w3id.org/metpo/1002033>	"Hydrogen-oxidizing"
<https://w3id.org/metpo/1002034>	"Sulfur-oxidizing"
<https://w3id.org/metpo/1002035>	"Ammonia-oxidizing"
<https://w3id.org/metpo/1002036>	"Nitrite-oxidizing"
<https://w3id.org/metpo/1002037>	"Complete ammonia-oxidizing"
<https://w3id.org/metpo/1002038>	"Methane-oxidizing"
<https://w3id.org/metpo/1002039>	"Carbon monoxide-oxidizing"
<https://w3id.org/metpo/1002040>	"Nitrogen-fixing"
