?id	?label	matched_id	matched_label
<https://w3id.org/metpo/1000632>	autotrophic	CHEBI:13193	A
<https://w3id.org/metpo/1000633>	carboxydotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000634>	chemoautolithotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000635>	chemoautotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000636>	chemoheterotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000637>	chemolithoautotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000638>	chemolithoheterotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000639>	chemolithotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000640>	chemoorganoheterotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000641>	chemotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000642>	copiotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000644>	heterotrophic	CHEBI:15971	H
<https://w3id.org/metpo/1000646>	hydrogenotrophic	CHEBI:15971	H
<https://w3id.org/metpo/1000647>	lithoautotrophic	CHEBI:15603	L
<https://w3id.org/metpo/1000648>	lithoheterotrophic	CHEBI:15603	L
<https://w3id.org/metpo/1000649>	lithotrophic	CHEBI:15603	L
<https://w3id.org/metpo/1000650>	methanotrophic	CHEBI:141319	methan
<https://w3id.org/metpo/1000651>	methylotrophic	CHEBI:16044	M
<https://w3id.org/metpo/1000652>	mixotrophic	CHEBI:16044	M
<https://w3id.org/metpo/1000654>	oligotrophic	CHEBI:25805	O
<https://w3id.org/metpo/1000655>	organotrophic	CHEBI:25805	O
<https://w3id.org/metpo/1000656>	photoautotrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000657>	photoheterotrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000658>	photolithotrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000659>	photoorganoheterotrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000660>	phototrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000663>	chemoorganotrophic	CHEBI:15356	C
<https://w3id.org/metpo/1000664>	organoheterotrophic	CHEBI:25805	O
<https://w3id.org/metpo/1000665>	photolithoautotrophic	CHEBI:17203	P
<https://w3id.org/metpo/1000859>	Hydrogen oxidation	CHEBI:15971	H
<https://w3id.org/metpo/1000860>	Sulfur oxidation	CHEBI:17115	S
<https://w3id.org/metpo/1000861>	Nitrification	CHEBI:141421	NI
<https://w3id.org/metpo/1000862>	Comammox	CHEBI:15356	C
<https://w3id.org/metpo/1000863>	Carbon monoxide oxidation	CHEBI:15356	C
<https://w3id.org/metpo/1002000>	Sulfate-dependent methane oxidation	CHEBI:141319	methan
<https://w3id.org/metpo/1002001>	Fe(III)-dependent methane oxidation	CHEBI:141319	methan
<https://w3id.org/metpo/1002002>	Mn(IV)-dependent methane oxidation	CHEBI:141319	methan
<https://w3id.org/metpo/1002003>	Cable bacteria metabolism	CHEBI:15356	C
<https://w3id.org/metpo/1002004>	Cellular respiration	CHEBI:15356	C
<https://w3id.org/metpo/1002005>	Fermentation	CHEBI:17295	F
<https://w3id.org/metpo/1002006>	Syntrophy	CHEBI:17115	S
<https://w3id.org/metpo/1002007>	Sulfur disproportionation	CHEBI:17053	D
<https://w3id.org/metpo/1002008>	Nitrogen fixation	CHEBI:141421	NI
<https://w3id.org/metpo/1002009>	Nitrate-reducing	CHEBI:141421	NI
<https://w3id.org/metpo/1002010>	Anaerobic ammonium-oxidizing	CHEBI:13193	A
<https://w3id.org/metpo/1002011>	Nitrous oxide-reducing	CHEBI:141421	NI
<https://w3id.org/metpo/1002012>	Sulfate-reducing	CHEBI:16189	sulfate
<https://w3id.org/metpo/1002013>	Sulfur-reducing	CHEBI:17115	S
<https://w3id.org/metpo/1002014>	Sulfite-reducing	CHEBI:16467	R
<https://w3id.org/metpo/1002015>	Thiosulfate-reducing	CHEBI:16094	thiosulfate
<https://w3id.org/metpo/1002016>	Sulfur-disproportionating	CHEBI:17053	D
<https://w3id.org/metpo/1002017>	Sulfide-oxidizing	CHEBI:15138	Sulfide
<https://w3id.org/metpo/1002018>	Thiosulfate-oxidizing	CHEBI:16094	thiosulfate
<https://w3id.org/metpo/1002019>	Sulfite-oxidizing	CHEBI:17115	S
<https://w3id.org/metpo/1002020>	Iron-reducing	CHEBI:17191	I
<https://w3id.org/metpo/1002021>	Iron-oxidizing	CHEBI:17191	I
<https://w3id.org/metpo/1002022>	Nitrate-dependent Fe(II)-oxidizing	CHEBI:141421	NI
<https://w3id.org/metpo/1002023>	Manganese-reducing	CHEBI:16044	M
<https://w3id.org/metpo/1002024>	Manganese-oxidizing	CHEBI:16044	M
<https://w3id.org/metpo/1002025>	Uranium-reducing	CHEBI:16199	ur
<https://w3id.org/metpo/1002026>	Arsenate-reducing	CHEBI:13193	A
<https://w3id.org/metpo/1002027>	Selenate-reducing	CHEBI:15075	selenate
<https://w3id.org/metpo/1002028>	Selenite-reducing	CHEBI:16467	R
<https://w3id.org/metpo/1002029>	Perchlorate-reducing	CHEBI:16038	PE
<https://w3id.org/metpo/1002030>	Chlorate-reducing	CHEBI:15356	C
<https://w3id.org/metpo/1002031>	Bromate-reducing	CHEBI:22927	Br
<https://w3id.org/metpo/1002032>	Iodate-reducing	CHEBI:16467	R
<https://w3id.org/metpo/1002033>	Hydrogen-oxidizing	CHEBI:15971	H
<https://w3id.org/metpo/1002034>	Sulfur-oxidizing	CHEBI:17115	S
<https://w3id.org/metpo/1002035>	Ammonia-oxidizing	CHEBI:13193	A
<https://w3id.org/metpo/1002036>	Nitrite-oxidizing	CHEBI:141421	NI
<https://w3id.org/metpo/1002037>	Complete ammonia-oxidizing	CHEBI:13193	A
<https://w3id.org/metpo/1002038>	Methane-oxidizing	CHEBI:141319	methan
<https://w3id.org/metpo/1002039>	Carbon monoxide-oxidizing	CHEBI:15356	C
<https://w3id.org/metpo/1002040>	Nitrogen-fixing	CHEBI:141421	NI
