metpo_id	metpo_label	source	definition	definition_length	source_iri	source_ontology	source_label	match_type	confidence	quality_label	quality_score	total_score
METPO:1000059	phenotype	api_search	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	209	http://purl.obolibrary.org/obo/OGMS_0000023	obi	phenotype	exactMatch	1.0	excellent	10	12.0
METPO:1000060	metabolism	sssom	quality of metabolic process; The quality of a metabolic process.	65	http://purl.obolibrary.org/obo/OBA_VT0002121	go	metabolism trait	broadMatch	0.273429	good	6	6.546858
METPO:1000127	GC content	api_search	A method referring to Gas Chromatography (GC), a technique used to separate and analyze compounds that can be vaporized without decomposition. It is commonly used in chemistry for qualitative and quantitative analysis.	218	https://purl.dsmz.de/schema/gcMethod	D3O	gc Method	closeMatch	0.5263157894736843	excellent	9	10.052631578947368
METPO:1000186	material entity	sssom	material entity; An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.	161	http://purl.obolibrary.org/obo/BFO_0000040	ecto	material entity	broadMatch	0.469271	good	6	6.938542
METPO:1000232	pH delta	api_search	A device that is used to measure the pH (acidity or alkalinity) of a liquid.	76	http://purl.obolibrary.org/obo/OBI_0001047	obi	pH meter	closeMatch	0.625	excellent	8	9.25
METPO:1000304	temperature optimum	api_search	Describes the degree of heat in an environment or cultivation, which can influence biological processes, metabolic rates, and organism survival. Temperature is a key factor in defining the suitable living conditions for many organisms.	235	https://purl.dsmz.de/schema/Temperature	D3O	Temperature	closeMatch	0.7333333333333334	excellent	9	10.466666666666667
METPO:1000331	pH optimum	sssom	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	broadMatch	0.228817	poor	2	2.457634
METPO:1000334	NaCl range	api_search	An environmental zone that encompasses the geographical area in which most members of a species as collection of organisms can be found.	136	http://purl.obolibrary.org/obo/ECOCORE_3000001	ecocore	species range	closeMatch	0.6086956521739131	excellent	8	9.217391304347826
METPO:1000442	temperature optimum low	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5238095238095238	excellent	9	10.047619047619047
METPO:1000443	temperature optimum mid1	api_search	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	https://purl.dsmz.de/schema/OptimumTemperature	D3O	Optimum Temperature	closeMatch	0.5116279069767442	excellent	9	10.023255813953488
METPO:1000447	temperature optimum high	sssom	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	broadMatch	0.237398	excellent	9	9.474796
METPO:1000467	NaCl optimum mid2	api_search	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	160	https://purl.dsmz.de/schema/OptimumSalinity	D3O	Optimum Salinity	closeMatch	0.5454545454545454	excellent	9	10.09090909090909
METPO:1000468	NaCl optimum high	api_search	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	160	https://purl.dsmz.de/schema/OptimumSalinity	D3O	Optimum Salinity	closeMatch	0.5454545454545454	excellent	9	10.09090909090909
METPO:1000472	NaCl range high	api_search	MIC is a range of two MIC values (e.g., given 10 clinical isolates with a resistance determinant, there are 5 that have an MIC of 25ug/mL and 5 that have an MIC of 100ug/mL agaisnt tobramycin).	193	http://purl.obolibrary.org/obo/ARO_3004523	aro	MIC range	closeMatch	0.5833333333333333	good	6	7.166666666666666
METPO:1000473	pH delta very low	api_search	An IPSS-M risk category for myelodysplastic syndrome in which the incidence of acute myeloid leukemia is very low.	114	http://purl.obolibrary.org/obo/NCIT_C217168	ncit	IPSS-M Risk Category Very Low	closeMatch	0.5217391304347826	good	6	7.043478260869565
