metpo_id	metpo_label	parent_classes	current_definition	proposed_definition	source_terms_consulted	rationale
METPO:1000059	phenotype	quality	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	A quality of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	OGMS:0000023 (OBI)	Current definition is excellent and already follows guidelines. Minor simplification removes unnecessary parenthetical.
METPO:1000060	metabolism	biological process		A biological process that involves the chemical reactions and pathways within a living organism for maintaining life.	GO:0008150 (biological process), OBA_VT0002121 (metabolism trait)	Follows genus-differentia using parent "biological process" as genus.
METPO:1000127	GC content	quality	The percentage of guanine and cytosine nucleotides in DNA	A quality that inheres in DNA by virtue of the proportion of guanine and cytosine nucleotides relative to total nucleotide content.	D3O:gcMethod (mismatched to GC measurement tool, not content itself)	Rewritten to follow genus-differentia form using "quality" as genus, focusing on what GC content IS rather than how to measure it.
METPO:1000186	material entity			An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.	BFO:0000040 (material entity)	Root class definition from BFO is appropriate and follows guidelines.
METPO:1000188	quality			A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities.	PATO:0000001 (quality)	Root class definition from PATO follows guidelines with proper genus-differentia structure.
METPO:1000232	pH delta	pH phenotype with numerical limits|delta phenotype with numerical limits	A measure of the breadth of hydrogen ion concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable pH values	A pH phenotype that represents the breadth of hydrogen ion concentrations a microorganism can tolerate, quantified as the difference between maximum and minimum viable pH values.	OBI:0001047 (pH meter - wrong match, device not phenotype)	Current is good but not genus-differentia form. Rewritten using "pH phenotype" as genus.
METPO:1000303	temperature delta	temperature phenotype with numerical limits|delta phenotype with numerical limits	A measure of the breadth of thermal conditions that a microorganism can withstand, calculated as the difference between the maximum and minimum viable temperature values	A temperature phenotype that represents the breadth of thermal conditions a microorganism can withstand, quantified as the difference between maximum and minimum viable temperatures.	PATO:0001314 (variant temperature)	Rewritten to use "temperature phenotype" as genus following guidelines.
METPO:1000304	temperature optimum	temperature phenotype with numerical limits|optimum phenotype with numerical limits	The specific temperature at which an organism exhibits maximum growth rate	A temperature phenotype at which an organism exhibits maximum growth rate.	D3O:OptimumTemperature	Current is descriptive. Rewritten to genus-differentia using "temperature phenotype" as genus.
METPO:1000306	temperature range	temperature phenotype with numerical limits|growth range phenotype with numerical limits	The span of temperatures within which an organism can grow	A temperature phenotype that encompasses the span of temperatures within which an organism can grow.	D3O:Temperature	Rewritten to genus-differentia using "temperature phenotype" as genus.
METPO:1000331	pH optimum	pH phenotype with numerical limits|optimum phenotype with numerical limits	The specific hydrogen ion concentration at which a microorganism achieves its maximum growth rate and metabolic efficiency.	A pH phenotype at which a microorganism achieves maximum growth rate.	MPO:MPO_00108 (minimal definition)	Current is good but can be more concise. Rewritten to genus-differentia using "pH phenotype" as genus.
METPO:1000332	pH range	pH phenotype with numerical limits|growth range phenotype with numerical limits	The span of hydrogen ion concentrations within which a microorganism can maintain cellular homeostasis and sustain growth.	A pH phenotype that encompasses the span of hydrogen ion concentrations within which a microorganism can sustain growth.	None	Rewritten to genus-differentia using "pH phenotype" as genus.
METPO:1000333	NaCl optimum	salinity phenotype with numerical limits|optimum phenotype with numerical limits	The specific concentration of sodium chloride at which a microorganism exhibits maximum growth rate and metabolic efficiency.	A salinity phenotype at which a microorganism exhibits maximum growth rate.	D3O:OptimumSalinity	Rewritten to genus-differentia using "salinity phenotype" as genus.
METPO:1000334	NaCl range	salinity phenotype with numerical limits|growth range phenotype with numerical limits	The span of sodium chloride concentrations within which a microorganism can maintain osmotic balance and cellular functions.	A salinity phenotype that encompasses the span of sodium chloride concentrations within which a microorganism can sustain growth.	ECOCORE:3000001 (species range - wrong context)	Rewritten to genus-differentia using "salinity phenotype" as genus.
