metpo_id	metpo_label	parent_classes	current_definition	has_current_definition	matched_definition	matched_source	matched_quality	def_similarity	extracted_genus	genus_status	matched_parent	suggested_tweak	needs_tweak
METPO:1000059	phenotype	quality	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	yes	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	obi	excellent	1.000	(combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment	genus_matches_parent	quality		no
METPO:1000060	metabolism	biological process		no	quality of metabolic process; The quality of a metabolic process.	go	good	0.000		no_genus		Rewrite as: A biological process that quality of metabolic process; the quality of a metabolic process.	yes
METPO:1000127	GC content	quality	The percentage of guanine and cytosine nucleotides in DNA	yes	A method referring to Gas Chromatography (GC), a technique used to separate and analyze compounds that can be vaporized without decomposition. It is commonly used in chemistry for qualitative and quantitative analysis.	D3O	excellent	0.204	method referring to Gas Chromatography (GC), a technique used to separate and analyze compounds	genus_missing_parent		Replace genus 'method referring to Gas Chromatography (GC), a technique used to separate and analyze compounds' with 'quality': A quality that can be vaporized without decomposition. It is commonly used in chemistry for qualitative and quantitative analysis.	yes
METPO:1000186	material entity		An object or portion of a substance or mixture of substances that consists of matter	yes	material entity; An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.	ecto	good	0.245		no_genus			no
METPO:1000232	pH delta	pH phenotype with numerical limits|delta phenotype with numerical limits	A measure of the breadth of hydrogen ion concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable pH values	yes	A device that is used to measure the pH (acidity or alkalinity) of a liquid.	obi	excellent	0.164	device	genus_missing_parent		Replace genus 'device' with 'pH phenotype with numerical limits': A pH phenotype with numerical limits that is used to measure the pH (acidity or alkalinity) of a liquid.	yes
METPO:1000304	temperature optimum	temperature phenotype with numerical limits|optimum phenotype with numerical limits	The specific temperature at which an organism exhibits maximum growth rate	yes	Describes the degree of heat in an environment or cultivation, which can influence biological processes, metabolic rates, and organism survival. Temperature is a key factor in defining the suitable living conditions for many organisms.	D3O	excellent	0.227		no_genus		Rewrite as: A temperature phenotype with numerical limits that describes the degree of heat in an environment or cultivation, which can influence biological processes, metabolic rates, and organism survival. temperature is a key factor in defining the suitable living conditions for many organisms.	yes
METPO:1000331	pH optimum	pH phenotype with numerical limits|optimum phenotype with numerical limits	The specific hydrogen ion concentration at which a microorganism achieves its maximum growth rate and metabolic efficiency.	yes	Optimal growth pH of a microbe	mpo	poor	0.261		no_genus		Rewrite as: A pH phenotype with numerical limits that optimal growth ph of a microbe	yes
METPO:1000334	NaCl range	salinity phenotype with numerical limits|growth range phenotype with numerical limits	The span of sodium chloride concentrations within which a microorganism can maintain osmotic balance and cellular functions.	yes	An environmental zone that encompasses the geographical area in which most members of a species as collection of organisms can be found.	ecocore	excellent	0.323	environmental zone	genus_missing_parent		Replace genus 'environmental zone' with 'salinity phenotype with numerical limits': A salinity phenotype with numerical limits that encompasses the geographical area in which most members of a species as collection of organisms can be found.	yes
METPO:1000442	temperature optimum low	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 10°C and 22°C, common in psychrophilic or psychrotolerant organisms. Values ranging from 10 to 22 C.	yes	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	D3O	excellent	0.382		no_genus		Rewrite as: A temperature optimum that the temperature range at which an organism exhibits the most efficient growth and biological activity. this is typically the mid-range temperature between the maximum and minimum limits for growth.	yes
METPO:1000443	temperature optimum mid1	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures between 22°C and 27°C, characteristic of mesophilic organisms. Values ranging from 22 to 27 C.	yes	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	D3O	excellent	0.370		no_genus		Rewrite as: A temperature optimum that the temperature range at which an organism exhibits the most efficient growth and biological activity. this is typically the mid-range temperature between the maximum and minimum limits for growth.	yes
METPO:1000447	temperature optimum high	temperature optimum	A temperature optimum manifested as maximum microbial growth at temperatures above 40°C, typical of thermophilic organisms. Values with minimum value of 40 C.	yes	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	d3o	excellent	0.394		no_genus		Rewrite as: A temperature optimum that the temperature range at which an organism exhibits the most efficient growth and biological activity. this is typically the mid-range temperature between the maximum and minimum limits for growth.	yes
METPO:1000467	NaCl optimum mid2	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations between 3% and 8%, characteristic of moderate halophiles or halotolerant organisms. Values ranging from 3 to 8 % NaCl.	yes	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	D3O	excellent	0.076		no_genus		Rewrite as: A NaCl optimum that the salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	yes
METPO:1000468	NaCl optimum high	NaCl optimum	A salinity optimum manifested as maximum microbial growth at sodium chloride concentrations above 8%, characteristic of extreme halophiles. Values with minimum value of 8 % NaCl.	yes	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	D3O	excellent	0.361		no_genus		Rewrite as: A NaCl optimum that the salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.	yes
