parent_label	parent_id	parent_has_definition	total_children	children_with_definitions	coverage_percent	stragglers	straggler_count	example_defined_children
quality	METPO:1000188	True	3	3	100.0		0	phenotype (METPO:1000059) | GC content (METPO:1000127) | biosafety level (METPO:1001101)
pH phenotype with numerical limits	METPO:1000531	True	3	3	100.0		0	pH delta (METPO:1000232) | pH optimum (METPO:1000331) | pH range (METPO:1000332)
delta phenotype with numerical limits	METPO:1000534	True	3	3	100.0		0	pH delta (METPO:1000232) | temperature delta (METPO:1000303) | NaCl delta (METPO:1000335)
temperature phenotype with numerical limits	METPO:1000533	True	3	3	100.0		0	temperature delta (METPO:1000303) | temperature optimum (METPO:1000304) | temperature range (METPO:1000306)
optimum phenotype with numerical limits	METPO:1000536	True	3	3	100.0		0	temperature optimum (METPO:1000304) | pH optimum (METPO:1000331) | NaCl optimum (METPO:1000333)
growth range phenotype with numerical limits	METPO:1000535	True	3	3	100.0		0	temperature range (METPO:1000306) | pH range (METPO:1000332) | NaCl range (METPO:1000334)
salinity phenotype with numerical limits	METPO:1000532	True	3	3	100.0		0	NaCl optimum (METPO:1000333) | NaCl range (METPO:1000334) | NaCl delta (METPO:1000335)
GC content	METPO:1000127	True	4	4	100.0		0	GC low (METPO:1000429) | GC mid1 (METPO:1000430) | GC mid2 (METPO:1000431) | GC high (METPO:1000432)
temperature optimum	METPO:1000304	True	7	7	100.0		0	temperature optimum very low (METPO:1000441) | temperature optimum low (METPO:1000442) | temperature optimum mid1 (METPO:1000443) | temperature optimum mid2 (METPO:1000444) | temperature optimum mid3 (METPO:1000445)
temperature range	METPO:1000306	True	7	7	100.0		0	temperature range very low (METPO:1000448) | temperature range low (METPO:1000449) | temperature range mid1 (METPO:1000450) | temperature range mid2 (METPO:1000451) | temperature range mid3 (METPO:1000452)
pH optimum	METPO:1000331	True	4	4	100.0		0	pH optimum low (METPO:1000455) | pH optimum mid1 (METPO:1000456) | pH optimum mid2 (METPO:1000457) | pH optimum high (METPO:1000458)
pH range	METPO:1000332	True	6	6	100.0		0	pH range very low (METPO:1000459) | pH range low (METPO:1000460) | pH range mid1 (METPO:1000461) | pH range mid2 (METPO:1000462) | pH range mid3 (METPO:1000463)
NaCl optimum	METPO:1000333	True	4	4	100.0		0	NaCl optimum low (METPO:1000465) | NaCl optimum mid1 (METPO:1000466) | NaCl optimum mid2 (METPO:1000467) | NaCl optimum high (METPO:1000468)
NaCl range	METPO:1000334	True	4	4	100.0		0	NaCl range low (METPO:1000469) | NaCl range mid1 (METPO:1000470) | NaCl range mid2 (METPO:1000471) | NaCl range high (METPO:1000472)
pH delta	METPO:1000232	True	6	6	100.0		0	pH delta very low (METPO:1000473) | pH delta low (METPO:1000474) | pH delta mid1 (METPO:1000475) | pH delta mid2 (METPO:1000476) | pH delta mid3 (METPO:1000477)
NaCl delta	METPO:1000335	True	4	4	100.0		0	NaCl delta low (METPO:1000479) | NaCl delta mid1 (METPO:1000480) | NaCl delta mid2 (METPO:1000481) | NaCl delta high (METPO:1000482)
temperature delta	METPO:1000303	True	5	5	100.0		0	temperature delta very low (METPO:1000483) | temperature delta low (METPO:1000484) | temperature delta mid1 (METPO:1000485) | temperature delta mid2 (METPO:1000486) | temperature delta high (METPO:1000487)
material entity	METPO:1000186	True	2	2	100.0		0	microbe (METPO:1000525) | chemical entity (METPO:1000526)
phenotype	METPO:1000059	True	19	19	100.0		0	pH phenotype with numerical limits (METPO:1000531) | salinity phenotype with numerical limits (METPO:1000532) | temperature phenotype with numerical limits (METPO:1000533) | delta phenotype with numerical limits (METPO:1000534) | growth range phenotype with numerical limits (METPO:1000535)
oxygen preference	METPO:1000601	True	10	10	100.0		0	aerobic (METPO:1000602) | anaerobic (METPO:1000603) | microaerophilic (METPO:1000604) | facultatively anaerobic (METPO:1000605) | obligately aerobic (METPO:1000606)
temperature preference	METPO:1000613	True	8	8	100.0		0	psychrophilic (METPO:1000614) | mesophilic (METPO:1000615) | thermophilic (METPO:1000616) | hyperthermophilic (METPO:1000617) | psychrotolerant (METPO:1000618)
halophily preference	METPO:1000629	True	9	9	100.0		0	halophilic (METPO:1000620) | haloalkaliphilic (METPO:1000621) | halotolerant (METPO:1000622) | moderately halophilic (METPO:1000623) | non halophilic (METPO:1000624)
trophic type	METPO:1000631	True	28	28	100.0		0	autotrophic (METPO:1000632) | carboxydotrophic (METPO:1000633) | chemoautolithotrophic (METPO:1000634) | chemoautotrophic (METPO:1000635) | chemoheterotrophic (METPO:1000636)
nutrient adaptation	METPO:1000731	True	2	2	100.0		0	copiotrophic (METPO:1000642) | oligotrophic (METPO:1000654)
cell shape	METPO:1000666	True	30	30	100.0		0	bacillus shaped (METPO:1000667) | coccus shaped (METPO:1000668) | crescent shaped (METPO:1000669) | curved shaped (METPO:1000670) | diplococcus shaped (METPO:1000671)
gram stain	METPO:1000697	True	3	3	100.0		0	gram positive (METPO:1000698) | gram negative (METPO:1000699) | gram variable (METPO:1000700)
motility	METPO:1000701	True	2	2	100.0		0	motile (METPO:1000702) | non motile (METPO:1000703)
motile	METPO:1000702	True	3	3	100.0		0	flagellated (METPO:1000704) | axially filamented (METPO:1000705) | gliding (METPO:1000706)
metabolism	METPO:1000060	True	10	10	100.0		0	respiration (METPO:1000800) | Oxidative phosphorylation (METPO:1000803) | Substrate-level phosphorylation (METPO:1000804) | Electron transfer (METPO:1000805) | Disproportionation (METPO:1000806)
respiration	METPO:1000800	True	3	3	100.0		0	Aerobic respiration (METPO:1000801) | Anaerobic respiration (METPO:1000802) | Fermentation (METPO:1002005)
sporulation	METPO:1000870	True	2	2	100.0		0	spore forming (METPO:1000871) | non-spore forming (METPO:1000872)
cell length	METPO:1000881	True	4	4	100.0		0	cell length very small (METPO:1000883) | cell length small (METPO:1000884) | cell length medium (METPO:1000885) | cell length large (METPO:1000886)
cell width	METPO:1000882	True	4	4	100.0		0	cell width very small (METPO:1000887) | cell width small (METPO:1000888) | cell width medium (METPO:1000889) | cell width large (METPO:1000890)
