metpo_id	metpo_label	source_iri	source_ontology	match_type	confidence	ontology_usage_count	quality_overall	quality_length	quality_has_genus	quality_issues	definition_source	definition
METPO:1000679	pleomorphic shaped	http://purl.obolibrary.org/obo/PATO_0001356	flopo	broadMatch	0.814339	0	excellent	131	True		sssom	A shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.
METPO:1000679	pleomorphic shaped	http://purl.obolibrary.org/obo/PATO_0001356	micro	broadMatch	0.814339	0	excellent	131	True		sssom	A shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.
METPO:1000870	sporulation	http://purl.obolibrary.org/obo/GO_0043934	micro	broadMatch	0.787787	0	excellent	287	True		sssom	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.
METPO:1000688	coccobacillus shaped	<http://purl.obolibrary.org/obo/OMP_0000123>	omp	broadMatch	0.761273	0	excellent	108	True		sssom	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).
METPO:1000688	coccobacillus shaped	http://purl.obolibrary.org/obo/OMP_0000123	omp	broadMatch	0.761268	0	excellent	108	True		sssom	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).
METPO:1000672	dumbbell shaped	http://purl.obolibrary.org/obo/PATO_0001876	flopo	broadMatch	0.705349	0	excellent	149	True		sssom	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar.
METPO:1000672	dumbbell shaped	http://purl.obolibrary.org/obo/PATO_0001876	micro	broadMatch	0.705349	0	excellent	149	True		sssom	A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar.
METPO:1000675	flask shaped	http://purl.obolibrary.org/obo/NCIT_C96144	mco	broadMatch	0.732011	0	good	104	False	Multiple semicolons (may be multiple definitions)	sssom	Flask; flask; A container with a base wider than the narrow neck traditionally used for holding liquids.
METPO:1000679	pleomorphic shaped	<http://purl.jp/bio/10/mpo#MPO_01014>	mpo	relatedMatch	0.82873	0	adequate	31	False		sssom	Pleomorphic-shaped; Pleomorphic
METPO:1000630	biological process	http://purl.obolibrary.org/obo/ExO_0000024	exo	relatedMatch	0.828714	0	adequate	40	True		sssom	A process occurring in living organisms.
METPO:1000686	vibrio shaped	<http://purl.jp/bio/10/mpo#MPO_01022>	mpo	relatedMatch	0.855775	0	poor	21	False	Too short (< 30 chars)	sssom	Vibrio-shaped; Vibrio
METPO:1000693	spirochete shaped	<http://purl.jp/bio/10/mpo#MPO_01023>	mpo	relatedMatch	0.843869	0	poor	29	False	Too short (< 30 chars)	sssom	Spirochete-shaped; Spirochete
METPO:1000670	curved shaped	<http://purl.jp/bio/10/mpo#MPO_01005>	mpo	relatedMatch	0.842049	0	poor	21	False	Too short (< 30 chars)	sssom	Curved-shaped; Curved
METPO:1000690	fusiform shaped	<http://purl.jp/bio/10/mpo#MPO_01009>	mpo	relatedMatch	0.841059	0	poor	25	False	Too short (< 30 chars)	sssom	Fusiform-shaped; Fusiform
METPO:1000636	chemoheterotrophic	<http://purl.jp/bio/10/mpo#MPO_04039>	mpo	relatedMatch	0.832849	0	poor	21	False	Too short (< 30 chars)	sssom	Chemolithoheterotroph
METPO:1000669	crescent shaped	<http://purl.jp/bio/10/mpo#MPO_01004>	mpo	broadMatch	0.808398	0	poor	25	False	Too short (< 30 chars)	sssom	Crescent-shaped; Crescent
METPO:1000676	helical shaped	<http://purl.jp/bio/10/mpo#MPO_01010>	mpo	broadMatch	0.776552	0	poor	23	False	Too short (< 30 chars)	sssom	Helical-shaped; Helical
METPO:1000684	spiral shaped	<http://purl.jp/bio/10/mpo#MPO_01018>	mpo	broadMatch	0.747416	0	poor	21	False	Too short (< 30 chars)	sssom	Spiral-shaped; Spiral
METPO:1000694	square shaped	<http://purl.jp/bio/10/mpo#MPO_01020>	mpo	broadMatch	0.737532	0	poor	21	False	Too short (< 30 chars)	sssom	Square-shaped; Square
