metpo_id	metpo_label	current_definition	definition_quality	rank	candidate_definition	source_id	source_label	source_ontology	match_type	confidence
METPO:1000634	chemoautolithotrophic		missing	1	Chemoautotroph	<http://purl.jp/bio/10/mpo#MPO_04036>	Chemoautotrophic	mpo	skos:relatedMatch	0.8338
METPO:1000635	chemoautotrophic		missing	1	Chemoautotroph	<http://purl.jp/bio/10/mpo#MPO_04036>	Chemoautotrophic	mpo	skos:relatedMatch	0.8625
METPO:1000636	chemoheterotrophic		missing	1	Chemoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04035>	Chemoheterotrophic	mpo	skos:relatedMatch	0.8607
METPO:1000636	chemoheterotrophic		missing	2	Chemolithoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04039>	Chemolithoheterotrophic	mpo	skos:relatedMatch	0.8328
METPO:1000638	chemolithoheterotrophic		missing	1	Chemolithoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04039>	Chemolithoheterotrophic	mpo	skos:relatedMatch	0.8660
METPO:1000639	chemolithotrophic		missing	1	Chemolithotroph	<http://purl.jp/bio/10/mpo#MPO_04034>	Chemolithotrophic	mpo	skos:relatedMatch	0.8311
METPO:1000640	chemoorganoheterotrophic		missing	1	Chemoorganoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04037>	Chemoorganoheterotrophic	mpo	skos:relatedMatch	0.8702
METPO:1000641	chemotrophic		missing	1	Chemotroph	<http://purl.jp/bio/10/mpo#MPO_04022>	Chemotrophic	mpo	skos:relatedMatch	0.8496
METPO:1000642	copiotrophic		missing	1	Copiotroph	<http://purl.jp/bio/10/mpo#MPO_04024>	Copiotrophic	mpo	skos:relatedMatch	0.8399
METPO:1000644	heterotrophic		missing	1	Heterotroph	<http://purl.jp/bio/10/mpo#MPO_04012>	Heterotrophic	mpo	skos:relatedMatch	0.8468
METPO:1000647	lithoautotrophic		missing	1	Lithoautotroph	<http://purl.jp/bio/10/mpo#MPO_04041>	Lithoautotrophic	mpo	skos:closeMatch	0.8913
METPO:1000648	lithoheterotrophic		missing	1	Lithoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04042>	Lithoheterotrophic	mpo	skos:closeMatch	0.8867
METPO:1000650	methanotrophic		missing	1	Methanotroph	<http://purl.jp/bio/10/mpo#MPO_04014>	Methanotrophic	mpo	skos:relatedMatch	0.8515
METPO:1000651	methylotrophic		missing	1	Methylotroph	<http://purl.jp/bio/10/mpo#MPO_04015>	Methylotrophic	mpo	skos:closeMatch	0.8817
METPO:1000652	mixotrophic		missing	1	Mixotroph	<http://purl.jp/bio/10/mpo#MPO_04021>	Mixotrophic	mpo	skos:relatedMatch	0.8328
METPO:1000654	oligotrophic		missing	1	Oligotroph	<http://purl.jp/bio/10/mpo#MPO_04016>	Oligotrophic	mpo	skos:relatedMatch	0.8376
METPO:1000655	organotrophic		missing	1	Organotroph	<http://purl.jp/bio/10/mpo#MPO_04017>	Organotrophic	mpo	skos:relatedMatch	0.8297
METPO:1000656	photoautotrophic		missing	1	Photoautotroph	<http://purl.jp/bio/10/mpo#MPO_04028>	Photoautotrophic	mpo	skos:relatedMatch	0.8393
METPO:1000657	photoheterotrophic		missing	1	Photoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04027>	Photoheterotrophic	mpo	skos:relatedMatch	0.8653
METPO:1000658	photolithotrophic		missing	1	Photolithotroph	<http://purl.jp/bio/10/mpo#MPO_04026>	Photolithotrophic	mpo	skos:relatedMatch	0.8627
METPO:1000658	photolithotrophic		missing	2	Photolithoautotroph	<http://purl.jp/bio/10/mpo#MPO_04032>	Photolithoautotrophic	mpo	skos:relatedMatch	0.8373
METPO:1000659	photoorganoheterotrophic		missing	1	Photoorganoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04029>	Photoorganoheterotrophic	mpo	skos:relatedMatch	0.8694
METPO:1000660	phototrophic		missing	1	Phototroph	<http://purl.jp/bio/10/mpo#MPO_04019>	Phototrophic	mpo	skos:relatedMatch	0.8559
METPO:1000663	chemoorganotrophic		missing	1	Chemoorganotroph	<http://purl.jp/bio/10/mpo#MPO_04033>	Chemoorganotrophic	mpo	skos:relatedMatch	0.8517
METPO:1000664	organoheterotrophic		missing	1	Organoheterotroph	<http://purl.jp/bio/10/mpo#MPO_04151>	Organoheterotrophic	mpo	skos:relatedMatch	0.8351
METPO:1000665	photolithoautotrophic		missing	1	Photolithoautotroph	<http://purl.jp/bio/10/mpo#MPO_04032>	Photolithoautotrophic	mpo	skos:closeMatch	0.9076
METPO:1000670	curved shaped		missing	1	Curved-shaped; Curved	<http://purl.jp/bio/10/mpo#MPO_01005>	Curved shape	mpo	skos:relatedMatch	0.8420
METPO:1000679	pleomorphic shaped		missing	1	Pleomorphic-shaped; Pleomorphic	<http://purl.jp/bio/10/mpo#MPO_01014>	Pleomorphic shape	mpo	skos:relatedMatch	0.8287
METPO:1000686	vibrio shaped		missing	1	Vibrio-shaped; Vibrio	<http://purl.jp/bio/10/mpo#MPO_01022>	Vibrio shape	mpo	skos:relatedMatch	0.8558
METPO:1000690	fusiform shaped		missing	1	Fusiform-shaped; Fusiform	<http://purl.jp/bio/10/mpo#MPO_01009>	Fusiform shape	mpo	skos:relatedMatch	0.8411
METPO:1000693	spirochete shaped		missing	1	Spirochete-shaped; Spirochete	<http://purl.jp/bio/10/mpo#MPO_01023>	Spirochete shape	mpo	skos:relatedMatch	0.8439
