metpo_id	metpo_label	parent_classes	current_definition	definition_quality	rank	candidate_definition	genus_compatible	source_id	source_label	source_ontology	match_type	confidence
METPO:1000634	chemoautolithotrophic	trophic type		missing	1	Chemoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04036>	Chemoautotrophic	mpo	skos:relatedMatch	0.8338
METPO:1000635	chemoautotrophic	trophic type		missing	1	Chemoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04036>	Chemoautotrophic	mpo	skos:relatedMatch	0.8625
METPO:1000636	chemoheterotrophic	trophic type		missing	1	Chemoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04035>	Chemoheterotrophic	mpo	skos:relatedMatch	0.8607
METPO:1000636	chemoheterotrophic	trophic type		missing	2	Chemolithoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04039>	Chemolithoheterotrophic	mpo	skos:relatedMatch	0.8328
METPO:1000638	chemolithoheterotrophic	trophic type		missing	1	Chemolithoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04039>	Chemolithoheterotrophic	mpo	skos:relatedMatch	0.8660
METPO:1000639	chemolithotrophic	trophic type		missing	1	Chemolithotroph	no	<http://purl.jp/bio/10/mpo#MPO_04034>	Chemolithotrophic	mpo	skos:relatedMatch	0.8311
METPO:1000640	chemoorganoheterotrophic	trophic type		missing	1	Chemoorganoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04037>	Chemoorganoheterotrophic	mpo	skos:relatedMatch	0.8702
METPO:1000641	chemotrophic	trophic type		missing	1	Chemotroph	no	<http://purl.jp/bio/10/mpo#MPO_04022>	Chemotrophic	mpo	skos:relatedMatch	0.8496
METPO:1000642	copiotrophic	nutrient adaptation		missing	1	Copiotroph	no	<http://purl.jp/bio/10/mpo#MPO_04024>	Copiotrophic	mpo	skos:relatedMatch	0.8399
METPO:1000644	heterotrophic	trophic type		missing	1	Heterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04012>	Heterotrophic	mpo	skos:relatedMatch	0.8468
METPO:1000647	lithoautotrophic	trophic type		missing	1	Lithoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04041>	Lithoautotrophic	mpo	skos:closeMatch	0.8913
METPO:1000648	lithoheterotrophic	trophic type		missing	1	Lithoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04042>	Lithoheterotrophic	mpo	skos:closeMatch	0.8867
METPO:1000650	methanotrophic	trophic type		missing	1	Methanotroph	no	<http://purl.jp/bio/10/mpo#MPO_04014>	Methanotrophic	mpo	skos:relatedMatch	0.8515
METPO:1000651	methylotrophic	trophic type		missing	1	Methylotroph	no	<http://purl.jp/bio/10/mpo#MPO_04015>	Methylotrophic	mpo	skos:closeMatch	0.8817
METPO:1000652	mixotrophic	trophic type		missing	1	Mixotroph	no	<http://purl.jp/bio/10/mpo#MPO_04021>	Mixotrophic	mpo	skos:relatedMatch	0.8328
METPO:1000654	oligotrophic	nutrient adaptation		missing	1	Oligotroph	no	<http://purl.jp/bio/10/mpo#MPO_04016>	Oligotrophic	mpo	skos:relatedMatch	0.8376
METPO:1000655	organotrophic	trophic type		missing	1	Organotroph	no	<http://purl.jp/bio/10/mpo#MPO_04017>	Organotrophic	mpo	skos:relatedMatch	0.8297
METPO:1000656	photoautotrophic	trophic type		missing	1	Photoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04028>	Photoautotrophic	mpo	skos:relatedMatch	0.8393
METPO:1000657	photoheterotrophic	trophic type		missing	1	Photoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04027>	Photoheterotrophic	mpo	skos:relatedMatch	0.8653
METPO:1000658	photolithotrophic	trophic type		missing	1	Photolithotroph	no	<http://purl.jp/bio/10/mpo#MPO_04026>	Photolithotrophic	mpo	skos:relatedMatch	0.8627
METPO:1000658	photolithotrophic	trophic type		missing	2	Photolithoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04032>	Photolithoautotrophic	mpo	skos:relatedMatch	0.8373
METPO:1000659	photoorganoheterotrophic	trophic type		missing	1	Photoorganoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04029>	Photoorganoheterotrophic	mpo	skos:relatedMatch	0.8694
METPO:1000660	phototrophic	trophic type		missing	1	Phototroph	no	<http://purl.jp/bio/10/mpo#MPO_04019>	Phototrophic	mpo	skos:relatedMatch	0.8559
METPO:1000663	chemoorganotrophic	trophic type		missing	1	Chemoorganotroph	no	<http://purl.jp/bio/10/mpo#MPO_04033>	Chemoorganotrophic	mpo	skos:relatedMatch	0.8517
METPO:1000664	organoheterotrophic	trophic type		missing	1	Organoheterotroph	no	<http://purl.jp/bio/10/mpo#MPO_04151>	Organoheterotrophic	mpo	skos:relatedMatch	0.8351
METPO:1000665	photolithoautotrophic	trophic type		missing	1	Photolithoautotroph	no	<http://purl.jp/bio/10/mpo#MPO_04032>	Photolithoautotrophic	mpo	skos:closeMatch	0.9076
METPO:1000670	curved shaped	cell shape		missing	1	Curved-shaped; Curved	yes	<http://purl.jp/bio/10/mpo#MPO_01005>	Curved shape	mpo	skos:relatedMatch	0.8420
METPO:1000679	pleomorphic shaped	cell shape		missing	1	Pleomorphic-shaped; Pleomorphic	yes	<http://purl.jp/bio/10/mpo#MPO_01014>	Pleomorphic shape	mpo	skos:relatedMatch	0.8287
METPO:1000686	vibrio shaped	cell shape		missing	1	Vibrio-shaped; Vibrio	yes	<http://purl.jp/bio/10/mpo#MPO_01022>	Vibrio shape	mpo	skos:relatedMatch	0.8558
METPO:1000690	fusiform shaped	cell shape		missing	1	Fusiform-shaped; Fusiform	yes	<http://purl.jp/bio/10/mpo#MPO_01009>	Fusiform shape	mpo	skos:relatedMatch	0.8411
METPO:1000693	spirochete shaped	cell shape		missing	1	Spirochete-shaped; Spirochete	yes	<http://purl.jp/bio/10/mpo#MPO_01023>	Spirochete shape	mpo	skos:relatedMatch	0.8439
