metric	category	count	min	max	mean	median	std	q25	q75
Overall	All terms	214	0.2057	1.0000	0.6280	0.6317	0.2572	0.3950	0.8670
By match type	exactMatch	42	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000
By match type	closeMatch	29	0.7558	0.9963	0.8455	0.8376	0.0641	0.7899	0.8899
By match type	relatedMatch	28	0.6506	0.7495	0.6927	0.6856	0.0263	0.6767	0.7067
By match type	other	115	0.2057	0.6498	0.4216	0.4048	0.1258	0.3209	0.5278
≥ 0.5 threshold	Similarity ≥ 0.5	132	61.7%						
≥ 0.6 threshold	Similarity ≥ 0.6	113	52.8%						
≥ 0.7 threshold	Similarity ≥ 0.7	80	37.4%						
≥ 0.8 threshold	Similarity ≥ 0.8	62	29.0%						
≥ 0.9 threshold	Similarity ≥ 0.9	48	22.4%						
