metpo_id	metpo_label	metpo_definition	definition_source_iri	source_label	source_definition	source_synonyms	source_api
METPO:1000059	phenotype	A quality that differentiates specific instances of a species from other instances of the same species.	http://purl.obolibrary.org/obo/PHIPO_0000505	phenotype	Any of the set of observable characteristics of an organism resulting from the interaction of its genotype with the environment.		OLS
METPO:1000060	metabolism	A biological process that maintain life in an organism.	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation.	metabolism	OLS
METPO:1000060	metabolism	A biological process that maintain life in an organism.	https://purl.dsmz.de/schema/MetabolicProcess	Metabolic Process	A broad term for the chemical reactions and pathways occurring within a cell or organism that allow it to grow, reproduce, maintain its structures, and respond to environmental changes.		BioPortal-D3O
METPO:1000127	GC content	A quality that is describing the percentage of guanine and cytosine nucleotides in genomic DNA, calculated as the ratio of GC base pairs to total base pairs.	https://purl.dsmz.de/schema/GCContent	GCContent	The percentage of guanine (G) and cytosine (C) bases in a DNA or RNA molecule, often used as an indicator of stability and gene expression potential in a sequence.		BioPortal-D3O
METPO:1000186	material entity	An object or portion of a substance or mixture of substances that consists of matter	http://purl.obolibrary.org/obo/BFO_0000040	material entity			OLS
METPO:1000188	quality	A characteristic of an entity that depends on the entity's existence, size, color, and physiological traits.	http://purl.obolibrary.org/obo/PATO_0000001	quality	A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities		OLS
METPO:1000232	pH delta						NO_SOURCE
METPO:1000303	temperature delta						NO_SOURCE
METPO:1000304	temperature optimum	A temperature phenotype with numerical limits that represents the conditions at which an organism exhibits the most efficient growth and reproduction.	https://purl.dsmz.de/schema/OptimumTemperature	Optimum Temperature	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.		BioPortal-D3O
METPO:1000306	temperature range						NO_SOURCE
METPO:1000331	pH optimum	A pH phenotype with numerical limits that represents the conditions at which an organism exhibits the most efficient growth and reproduction.					NO_SOURCE
METPO:1000332	pH range						NO_SOURCE
METPO:1000333	NaCl optimum	A salinity phenotype with numerical limits that supports the most efficient growth and reproduction of an organism.	https://purl.dsmz.de/schema/OptimumSalinity	Optimum Salinity	The salinity range that supports the most efficient growth and reproduction of an organism, representing ideal environmental conditions for biological activity.		BioPortal-D3O
METPO:1000334	NaCl range						NO_SOURCE
METPO:1000335	NaCl delta						NO_SOURCE
METPO:1000429	GC low						NO_SOURCE
METPO:1000430	GC mid1						NO_SOURCE
METPO:1000431	GC mid2						NO_SOURCE
METPO:1000432	GC high						NO_SOURCE
METPO:1000441	temperature optimum very low						NO_SOURCE
METPO:1000442	temperature optimum low						NO_SOURCE
METPO:1000443	temperature optimum mid1						NO_SOURCE
METPO:1000444	temperature optimum mid2						NO_SOURCE
METPO:1000445	temperature optimum mid3						NO_SOURCE
METPO:1000446	temperature optimum mid4						NO_SOURCE
METPO:1000447	temperature optimum high						NO_SOURCE
METPO:1000448	temperature range very low						NO_SOURCE
METPO:1000449	temperature range low						NO_SOURCE
METPO:1000450	temperature range mid1						NO_SOURCE
METPO:1000451	temperature range mid2						NO_SOURCE
METPO:1000452	temperature range mid3						NO_SOURCE
METPO:1000453	temperature range mid4						NO_SOURCE
METPO:1000454	temperature range high						NO_SOURCE
METPO:1000455	pH optimum low						NO_SOURCE
METPO:1000456	pH optimum mid1						NO_SOURCE
METPO:1000457	pH optimum mid2						NO_SOURCE
METPO:1000458	pH optimum high						NO_SOURCE
METPO:1000459	pH range very low						NO_SOURCE
METPO:1000460	pH range low						NO_SOURCE
METPO:1000461	pH range mid1						NO_SOURCE
METPO:1000462	pH range mid2						NO_SOURCE
METPO:1000463	pH range mid3						NO_SOURCE
METPO:1000464	pH range high						NO_SOURCE
METPO:1000465	NaCl optimum low						NO_SOURCE
METPO:1000466	NaCl optimum mid1						NO_SOURCE
METPO:1000467	NaCl optimum mid2						NO_SOURCE
METPO:1000468	NaCl optimum high						NO_SOURCE
METPO:1000469	NaCl range low						NO_SOURCE
METPO:1000470	NaCl range mid1						NO_SOURCE
METPO:1000471	NaCl range mid2						NO_SOURCE
METPO:1000472	NaCl range high						NO_SOURCE
METPO:1000473	pH delta very low						NO_SOURCE
METPO:1000474	pH delta low						NO_SOURCE
METPO:1000475	pH delta mid1						NO_SOURCE
METPO:1000476	pH delta mid2						NO_SOURCE
METPO:1000477	pH delta mid3						NO_SOURCE
METPO:1000478	pH delta high						NO_SOURCE
METPO:1000479	NaCl delta low						NO_SOURCE
METPO:1000480	NaCl delta mid1						NO_SOURCE
METPO:1000481	NaCl delta mid2						NO_SOURCE
METPO:1000482	NaCl delta high						NO_SOURCE
METPO:1000483	temperature delta very low						NO_SOURCE
METPO:1000484	temperature delta low						NO_SOURCE
METPO:1000485	temperature delta mid1						NO_SOURCE
METPO:1000486	temperature delta mid2						NO_SOURCE
METPO:1000487	temperature delta high						NO_SOURCE
METPO:1000525	microbe	A material entity that is too small to be viewed by the unaided eye, typically requiring microscopy for observation.	http://purl.obolibrary.org/obo/OHMI_0000460	microbe	An organism or virus or viron that is too small to be viewed by the unaided eye.		OLS
