metpo_id	metpo_label	metpo_definition	source_iri	source_label	source_definition	label_similarity	issues	source_api
METPO:1000060	metabolism	A biological process that maintain life in an organism.	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	A cellular process consisting of the biochemical pathways by which a living organism transforms chem...	0.67	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000060	metabolism	A biological process that maintain life in an organism.	https://purl.dsmz.de/schema/MetabolicProcess	Metabolic Process	A broad term for the chemical reactions and pathways occurring within a cell or organism that allow ...	0.67	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	BioPortal-D3O
METPO:1000127	GC content	A quality that is describing the percentage of guanine and cytosine nucleotides in genomic DNA, calc...	https://purl.dsmz.de/schema/GCContent	GCContent	The percentage of guanine (G) and cytosine (C) bases in a DNA or RNA molecule, often used as an indi...	0.95	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000304	temperature optimum	A temperature phenotype with numerical limits that represents the conditions at which an organism ex...	https://purl.dsmz.de/schema/OptimumTemperature	Optimum Temperature	The temperature range at which an organism exhibits the most efficient growth and biological activit...	0.58	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000333	NaCl optimum	A salinity phenotype with numerical limits that supports the most efficient growth and reproduction ...	https://purl.dsmz.de/schema/OptimumSalinity	Optimum Salinity	The salinity range that supports the most efficient growth and reproduction of an organism, represen...	0.50	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	http://purl.obolibrary.org/obo/OMP_0005250	aerobic population growth phenotype	A population growth range phenotype related to the ability of a microbial population to grow in the ...	0.23	LABEL_MISMATCH|LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	http://purl.obolibrary.org/obo/UPHENO_0049673	response to oxygen levels phenotype	Changed response to oxygen levels.	0.42	LABEL_NOT_IN_DEF|SOURCE_TOO_BROAD	OLS
METPO:1000601	oxygen preference	A phenotype that is relating to an organism's oxygen requirements or tolerance for growth.	https://purl.dsmz.de/schema/OxygenTolerance	Oxygen Tolerance	The ability of an organism to survive and grow in the presence or absence of oxygen, ranging from ob...	0.73	LABEL_NOT_IN_DEF	BioPortal-D3O
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically usin...	http://purl.obolibrary.org/obo/ECOCORE_00000173	aerobe	an organism that can survive and grow in an oxygenated environment	0.77	LABEL_NOT_IN_DEF	OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically usin...	http://purl.obolibrary.org/obo/ECOCORE_00000179	obligate aerobe	an aerobe that requires oxygen to grow	0.45	LABEL_NOT_IN_DEF	OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically usin...	http://purl.obolibrary.org/obo/OMP_0000185	obligate aerobe	A microbial phenotype that describes a microorganism that requires the presence of oxygen gas (O2) f...	0.45	LABEL_NOT_IN_DEF	OLS
METPO:1000602	aerobic	An oxygen preference in which growth occurs in the presence of molecular oxygen (O₂), typically usin...	http://purl.obolibrary.org/obo/OMP_0005250	aerobic population growth phenotype	A population growth range phenotype related to the ability of a microbial population to grow in the ...	0.33	SOURCE_TOO_BROAD	OLS
METPO:1000603	anaerobic	An oxygen preference in which growth occurs in the absence of molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0000495	anaerobic	A prokaryotic metabolic quality where the organism grows in the absence of oxygen.	1.00	OPPOSITE_MEANING:aerobic_vs_anaerobic	OLS
METPO:1000604	microaerophilic	An oxygen preference that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	http://purl.obolibrary.org/obo/ECOCORE_00000180	microaerophile	an aerobe that can grow at oxygen levels lower than what is present in the atmosphere	0.90	LABEL_NOT_IN_DEF	OLS
METPO:1000604	microaerophilic	An oxygen preference that requires molecular oxygen (O₂) at concentrations lower than atmospheric.	http://purl.obolibrary.org/obo/OMP_0005254	microaerophilic population growth phenotype	A population growth range phenotype relating to the ability of a microbial population to grow when O...	0.52	SOURCE_TOO_BROAD	OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/ECOCORE_00000178	obligate anaerobe	an anaerobe that cannot grow in the presence of oxygen	0.60	LABEL_NOT_IN_DEF|OPPOSITE_MEANING:facultative_vs_obligate	OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0000503	facultatively anaerobic	A prokaryotic metabolic quality where the organism grows in the presence of oxygen or in the absence...	1.00	OPPOSITE_MEANING:aerobic_vs_anaerobic	OLS
METPO:1000605	facultatively anaerobic	An oxygen preference in which growth can occur with or without molecular oxygen (O₂).	http://purl.obolibrary.org/obo/MICRO_0001520	facultative anaerobe	A prokaryote which is capable of growth in the presence of oxygen or in the absence of oxygen.	0.88	LABEL_NOT_IN_DEF	OLS
