?entity	?entityType	?synonymPred	?synValue	?lang	?synType	?xref	?src	?prov
<https://w3id.org/metpo/1000441>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrophile"	""				
<https://w3id.org/metpo/1000442>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrophile"	""				
<https://w3id.org/metpo/1000442>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrotolerant"	""				
<https://w3id.org/metpo/1000443>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000444>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000445>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000446>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000447>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Thermophile"	""				
<https://w3id.org/metpo/1000448>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrophile"	""				
<https://w3id.org/metpo/1000449>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrophile"	""				
<https://w3id.org/metpo/1000449>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Psychrotolerant"	""				
<https://w3id.org/metpo/1000450>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000451>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000452>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000453>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Mesophilie"	""				
<https://w3id.org/metpo/1000454>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Thermophile"	""				
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acid Tolerant"	""				
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Acidophile"	""				
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Extreme Acidophile"	""				
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Facultative acidophile"	""				
<https://w3id.org/metpo/1000455>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Obligative acidophile"	""				
<https://w3id.org/metpo/1000456>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000456>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Neutrophile"	""				
<https://w3id.org/metpo/1000457>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkali Tolerant"	""				
<https://w3id.org/metpo/1000457>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Alkaliphile"	""				
<https://w3id.org/metpo/1000457>	"class"	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Neutrophile"	""				
