ID	label	TYPE	deprecated	obsolescence reason
ID	LABEL	TYPE	A owl:deprecated	AI IAO:0000231
METPO:0000001	obsolete Temperature	owl:Class	true	OMO:0001000
METPO:000001	obsolete Temperature	owl:Class	true	OMO:0001000
METPO:0000002	obsolete Salinity	owl:Class	true	OMO:0001000
METPO:000002	obsolete Salinity	owl:Class	true	OMO:0001000
METPO:0000003	obsolete pH	owl:Class	true	OMO:0001000
METPO:000003	obsolete pH	owl:Class	true	OMO:0001000
METPO:0000004	obsolete Oxygen	owl:Class	true	OMO:0001000
METPO:000004	obsolete Oxygen	owl:Class	true	OMO:0001000
METPO:0000005	obsolete Trophic type	owl:Class	true	OMO:0001000
METPO:000005	obsolete Trophic type	owl:Class	true	OMO:0001000
METPO:0000006	obsolete Motility	owl:Class	true	OMO:0001000
METPO:000006	obsolete Motility	owl:Class	true	OMO:0001000
METPO:0000007	obsolete Sporulation	owl:Class	true	OMO:0001000
METPO:000007	obsolete Sporulation	owl:Class	true	OMO:0001000
METPO:0000008	obsolete Pressure	owl:Class	true	OMO:0001000
METPO:000008	obsolete Pressure	owl:Class	true	OMO:0001000
METPO:0000009	obsolete GC content	owl:Class	true	OMO:0001000
METPO:000009	obsolete GC content	owl:Class	true	OMO:0001000
METPO:0000010	obsolete Cell Width	owl:Class	true	OMO:0001000
METPO:000010	obsolete Cell Width	owl:Class	true	OMO:0001000
METPO:0000011	obsolete Cell Length	owl:Class	true	OMO:0001000
METPO:000011	obsolete Cell Length	owl:Class	true	OMO:0001000
METPO:0000012	obsolete Temperature Optimum	owl:Class	true	OMO:0001000
METPO:000012	obsolete Temperature Optimum	owl:Class	true	OMO:0001000
METPO:0000013	obsolete Temperature Range	owl:Class	true	OMO:0001000
METPO:000013	obsolete Temperature Range	owl:Class	true	OMO:0001000
METPO:0000014	obsolete pH Optimum	owl:Class	true	OMO:0001000
METPO:000014	obsolete pH Optimum	owl:Class	true	OMO:0001000
METPO:0000015	obsolete pH Range	owl:Class	true	OMO:0001000
METPO:000015	obsolete pH Range	owl:Class	true	OMO:0001000
METPO:0000016	obsolete NaCl Optimum	owl:Class	true	OMO:0001000
METPO:000016	obsolete NaCl Optimum	owl:Class	true	OMO:0001000
METPO:0000017	obsolete NaCl Range	owl:Class	true	OMO:0001000
METPO:000017	obsolete NaCl Range	owl:Class	true	OMO:0001000
METPO:0000018	obsolete pH delta	owl:Class	true	OMO:0001000
METPO:000018	obsolete pH delta	owl:Class	true	OMO:0001000
METPO:0000019	obsolete NaCl delta	owl:Class	true	OMO:0001000
METPO:000019	obsolete NaCl delta	owl:Class	true	OMO:0001000
METPO:0000020	obsolete Temperature Delta	owl:Class	true	OMO:0001000
METPO:000020	obsolete Temperature Delta	owl:Class	true	OMO:0001000
METPO:0000021	obsolete METPO Morphology	owl:Class	true	OMO:0001000
METPO:000021	obsolete Morphology	owl:Class	true	OMO:0001000
METPO:0000022	obsolete Psychrophile	owl:Class	true	OMO:0001000
METPO:000022	obsolete Other	owl:Class	true	OMO:0001000
METPO:0000023	obsolete Psychrotolerant	owl:Class	true	OMO:0001000
METPO:000023	obsolete Psychrophile	owl:Class	true	OMO:0001000
METPO:0000024	obsolete Mesophilie	owl:Class	true	OMO:0001000
METPO:000024	obsolete Psychrotolerant	owl:Class	true	OMO:0001000
METPO:0000025	obsolete Thermotolerant	owl:Class	true	OMO:0001000
METPO:000025	obsolete Mesophilie	owl:Class	true	OMO:0001000
METPO:0000026	obsolete Thermophile	owl:Class	true	OMO:0001000
METPO:000026	obsolete Thermotolerant	owl:Class	true	OMO:0001000
