 ID	TYPE	synonym property and value	synonym source
 ID	TYPE	AP	>AI IAO:0000119
https://w3id.org/metpo/1000602	owl:Class	oboInOwl:hasRelatedSynonym 'aerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000603	owl:Class	oboInOwl:hasRelatedSynonym 'anaerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000604	owl:Class	oboInOwl:hasRelatedSynonym 'microaerophile'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000605	owl:Class	oboInOwl:hasRelatedSynonym 'facultative anaerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000606	owl:Class	oboInOwl:hasRelatedSynonym 'obligate aerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000607	owl:Class	oboInOwl:hasRelatedSynonym 'obligate anaerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000608	owl:Class	oboInOwl:hasRelatedSynonym 'facultative aerobe'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000609	owl:Class	oboInOwl:hasRelatedSynonym 'aerotolerant'	https://bacdive.dsmz.de/
https://w3id.org/metpo/1000610	owl:Class	oboInOwl:hasRelatedSynonym 'microaerotolerant'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000002	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'assimilation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000003	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds acid from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000004	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds base from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000005	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds gas from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000006	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'carbon source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000007	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'degradation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000008	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'electron acceptor'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000009	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'electron donor'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000010	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'energy source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000011	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'fermentation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000012	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'growth'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000013	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'hydrolysis'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000014	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'nitrogen source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000015	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'other'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000016	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'oxidation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000017	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'reduction'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000018	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'required for growth'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000019	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'respiration'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000020	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'sulfur source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000021	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'aerobic catabolization'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000022	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'aerobic growth'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000023	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'anaerobic catabolization'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000024	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'anaerobic growth'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000025	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'anaerobic growth in the dark'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000026	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'anaerobic growth with light'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000027	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'assimilation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000028	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds acid from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000029	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds base from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000030	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'builds gas from'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000031	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'carbon source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000032	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'aerobic catabolization'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000033	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'degradation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000034	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'electron acceptor'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000035	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'electron donor'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000036	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'energy source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000037	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'fermentation'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000038	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'growth'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000039	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'hydrolysis'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000040	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'nitrogen source'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000041	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'other'	https://bacdive.dsmz.de/
https://w3id.org/metpo/2000042	owl:ObjectProperty	oboInOwl:hasRelatedSynonym 'oxidation'	https://bacdive.dsmz.de/
